frame,simulation_ms,ui_ms,render_ms,total_ms
0,7.26363,0.148833,2.37158,9.78404
1,8.74679,0.154916,4.27654,13.1783
2,7.42575,0.159125,2.36183,9.94671
3,8.63071,0.185416,2.4145,11.2306
4,7.34517,0.142125,2.17171,9.659
5,8.63562,0.136625,2.41471,11.187
6,7.50317,0.140042,2.24992,9.89312
7,8.70942,0.170666,2.54325,11.4233
8,7.27279,0.151792,1.91508,9.33967
9,8.43142,0.138875,1.86175,10.432
10,7.75967,0.138291,2.28842,10.1864
11,8.68,0.180792,2.12087,10.9817
12,7.32983,0.140917,1.89258,9.36333
13,8.40892,0.142833,2.04092,10.5927
14,7.32404,0.150875,2.03917,9.51408
15,8.59808,0.140625,2.02787,10.7666
16,7.15729,0.137,2.17421,9.4685
17,8.44688,0.1425,1.88679,10.4762
18,7.29283,0.145417,1.88029,9.31854
19,8.46375,0.13425,2.15071,10.7487
20,7.445,0.145542,1.97954,9.57008
21,8.684,0.145792,2.16629,10.9961
22,7.41892,0.138625,1.88417,9.44171
23,8.46112,0.137125,1.88254,10.4808
24,7.20996,0.143541,2.01713,9.37063
25,8.57342,0.152792,2.035,10.7612
26,7.17846,0.152291,2.05971,9.39046
27,8.59587,0.140791,1.91554,10.6522
28,7.1695,0.137541,1.87621,9.18325
29,8.39038,0.194875,1.94667,10.5319
30,7.40129,0.147166,2.48321,10.0317
31,8.53392,0.139083,1.91112,10.5841
32,7.69137,0.144416,1.92017,9.75596
33,8.31258,0.140375,1.96313,10.4161
34,7.18975,0.144209,1.94738,9.28133
35,8.57204,0.18575,2.11546,10.8733
36,7.46308,0.145584,2.04429,9.65296
37,8.61917,0.146416,2.15567,10.9213
38,7.27883,0.135166,2.01858,9.43258
39,8.46721,0.145625,2.08454,10.6974
40,7.11263,0.18925,2.06304,9.36492
41,8.33996,0.136833,1.90683,10.3836
42,7.14179,0.140958,1.99929,9.28204
43,8.50225,0.140958,2.01104,10.6542
44,7.25129,0.1435,1.97442,9.36921
45,8.66729,0.145042,2.18262,10.995
46,7.31917,0.136542,1.89704,9.35275
47,8.37029,0.133583,1.874,10.3779
48,7.25092,0.136292,2.03458,9.42179
49,8.36988,0.143666,2.04537,10.5589
50,7.13892,0.165292,2.32467,9.62888
51,8.84875,0.137833,1.88729,10.8739
52,7.36075,0.143583,2.13975,9.64408
53,8.31329,0.168042,2.12358,10.6049
54,7.20554,0.141375,1.98567,9.33258
55,8.44208,0.1395,1.89442,10.476
56,7.2275,0.140125,1.8775,9.24512
57,8.21558,0.134625,1.8865,10.2367
