frame,input_simulation_ms,ui_ms,world_ms,screen_ms,display_ms,total_ms
0,0.016792,0.085375,1.37229,0.387208,0.000708,1.86237
1,0.0195,0.137542,1.20258,0.361625,0,1.72125
2,0.016583,0.095583,1.25458,0.380958,0.000125,1.74783
3,0.016709,0.093041,1.12604,0.360583,0.000167,1.59654
4,0.016958,0.086458,1.11621,0.464541,0.000167,1.68433
5,0.016458,0.081708,1.12538,0.367584,0.000333,1.59146
6,0.016875,0.09,1.12183,0.354708,8.4e-05,1.5835
7,0.015458,0.081583,1.24925,0.420792,8.3e-05,1.76717
8,0.0185,0.095042,1.12267,0.361375,0.000208,1.59779
9,0.015584,0.082791,1.10625,0.351459,8.3e-05,1.55617
10,0.015709,0.080708,1.08971,0.497125,0,1.68325
11,0.0155,0.084791,1.24058,0.364916,0.000167,1.70596
12,0.017417,0.087583,1.25121,0.377084,0.000125,1.73342
13,0.016708,0.098125,1.14833,0.353792,0.000333,1.61729
14,0.016417,0.086375,1.118,0.355917,8.3e-05,1.57679
15,0.015667,0.080708,1.09563,0.348125,8.4e-05,1.54021
16,0.016,0.080666,1.11704,0.519458,8.4e-05,1.73325
17,0.015875,0.085375,1.2315,0.38675,0.00025,1.71975
18,0.017875,0.097417,1.138,0.354,8.3e-05,1.60737
19,0.017167,0.08675,1.10904,0.350875,4.2e-05,1.56387
20,0.016291,0.082917,1.35042,0.35525,0.000166,1.80504
21,0.015875,0.087792,1.12163,0.355375,0,1.58067
22,0.015375,0.080125,1.18471,0.572583,0.000208,1.853
23,0.022375,0.112291,1.17746,0.380291,4.2e-05,1.69246
24,0.015875,0.086083,1.10721,0.347542,0.000125,1.55683
25,0.015916,0.081125,1.09825,0.422042,0.000417,1.61775
26,0.017,0.091834,1.16642,0.405292,4.2e-05,1.68058
27,0.015583,0.084542,1.24838,0.385875,4.2e-05,1.73442
28,0.017584,0.098916,1.11708,0.487625,0.000125,1.72133
29,0.016416,0.082334,1.10979,0.36725,4.2e-05,1.57583
30,0.016459,0.086583,1.11112,0.367833,4.2e-05,1.58204
31,0.015792,0.09225,1.10579,0.359459,4.1e-05,1.57333
32,0.016041,0.083834,1.17887,0.470958,0.000167,1.74988
33,0.017,0.115,1.16871,0.418875,0,1.71958
34,0.016667,0.089791,1.146,0.357,4.2e-05,1.6095
35,0.016042,0.08225,1.26054,0.383917,0.000208,1.74296
36,0.018084,0.111833,1.12338,0.354917,0.000291,1.6085
37,0.016333,0.087084,1.22321,0.378792,4.1e-05,1.70546
38,0.016791,0.097084,1.17596,0.439417,8.3e-05,1.72933
39,0.021833,0.106417,1.28192,0.38825,0.000167,1.79858
40,0.017666,0.101667,1.58167,0.41,8.3e-05,2.11108
41,0.017583,0.101834,1.36442,0.419084,4.1e-05,1.90296
42,0.019208,0.095833,1.17408,0.381958,0.002792,1.67388
43,0.016917,0.100583,1.1785,0.382042,4.2e-05,1.67808
44,0.0175,0.094583,1.14525,0.367667,8.3e-05,1.62508
45,0.017,0.086167,1.23529,0.371625,0.000584,1.71067
46,0.016666,0.092542,1.2125,0.382042,0.000166,1.70392
47,0.017208,0.087708,1.384,0.500459,4.1e-05,1.98942
48,0.019542,0.108791,1.27208,0.388583,0.000208,1.78921
49,0.017666,0.099875,1.17046,0.413583,0,1.70158
50,0.02175,0.094875,1.14904,0.379209,0.00025,1.64512
51,0.016917,0.088,1.22121,0.385209,4.1e-05,1.71138
52,0.016708,0.093459,1.17833,0.37575,0.00025,1.6645
53,0.017,0.090708,1.14938,0.701208,4.2e-05,1.95833
54,0.018875,0.102958,1.2365,0.3935,0.000167,1.752
55,0.016834,0.092375,1.16708,0.394417,4.1e-05,1.67075
56,0.017833,0.0905,1.25192,0.414375,0.00025,1.77487
57,0.020708,0.109417,1.23392,0.384834,8.3e-05,1.74896
58,0.017167,0.093917,1.14517,0.372125,0.000209,1.62858
59,0.017,0.092334,1.14521,0.450792,4.1e-05,1.70538
60,0.02,0.12725,1.47692,0.413375,4.1e-05,2.03758
61,0.019125,0.103208,1.18837,0.395833,4.2e-05,1.70658
62,0.017125,0.093083,1.15017,0.375583,0.000125,1.63608
63,0.016708,0.090458,1.13308,0.370833,0.00025,1.61133
64,0.016166,0.08775,1.1685,0.393125,8.4e-05,1.66562
65,0.016375,0.085834,1.17221,0.508042,4.1e-05,1.7825
66,0.0195,0.101166,1.267,0.415125,0.000459,1.80325
67,0.019333,0.10725,1.38454,0.425458,0.000167,1.93675
68,0.018792,0.099458,1.18579,0.386667,8.3e-05,1.69079
69,0.016709,0.092541,1.23917,0.396917,8.3e-05,1.74542
70,0.018917,0.099375,1.20117,0.381791,0,1.70125
71,0.016209,0.089083,1.14633,0.495667,8.3e-05,1.74737
72,0.016875,0.087625,1.18408,0.397584,0.00075,1.68692
73,0.018167,0.097916,1.18996,0.40825,0.000208,1.7145
74,0.019291,0.105834,1.29158,0.408875,0.000167,1.82575
75,0.019417,0.092708,1.275,0.412209,4.1e-05,1.79937
76,0.021458,0.114458,1.26317,0.390208,4.2e-05,1.78933
77,0.018833,0.103167,1.12383,0.448584,4.1e-05,1.69446
78,0.016292,0.08225,1.16225,0.383667,0.000125,1.64458
79,0.017625,0.0985,1.13354,0.357375,8.3e-05,1.60712
80,0.017916,0.091667,1.68546,0.385667,4.2e-05,2.18075
81,0.017125,0.10725,1.14475,0.365792,0,1.63492
82,0.019875,0.084417,1.09554,0.347584,8.3e-05,1.5475
83,0.015792,0.07775,1.09367,0.49925,0.001875,1.68833
84,0.016834,0.091416,1.11325,0.408334,4.1e-05,1.62987
85,0.017916,0.098959,1.22229,0.383917,0.000125,1.72321
86,0.017292,0.109666,1.20975,0.369,4.2e-05,1.70575
87,0.016083,0.085625,1.10108,0.354958,0.000208,1.55796
88,0.015916,0.080375,1.13317,0.376833,4.2e-05,1.60633
89,0.016,0.086666,1.10254,0.494208,0.000125,1.69954
90,0.017667,0.102833,1.29412,0.470167,0,1.88479
91,0.017542,0.107042,1.15463,0.362041,8.4e-05,1.64133
92,0.016166,0.084125,1.11354,0.347833,4.2e-05,1.56171
93,0.015416,0.081542,1.10983,0.372292,4.2e-05,1.57912
94,0.017875,0.094417,1.11175,0.385333,4.2e-05,1.60942
95,0.019541,0.096834,1.19542,0.378167,4.2e-05,1.69
96,0.016333,0.089083,1.22558,0.38,4.1e-05,1.71104
97,0.017167,0.089041,1.09337,0.351334,0.000208,1.55113
98,0.015708,0.080917,1.10671,0.353042,0.000333,1.55671
99,0.016458,0.089417,1.11888,0.352416,4.2e-05,1.57721
100,0.015958,0.092542,1.48533,0.375333,0.000167,1.96933
101,0.016875,0.090875,1.11425,0.366875,4.2e-05,1.58892
102,0.015792,0.079167,1.27963,0.449833,4.2e-05,1.82446
103,0.016375,0.08375,1.17067,0.396125,4.2e-05,1.66696
104,0.017041,0.0995,1.17108,0.429333,0.000208,1.71717
105,0.021959,0.114083,1.23567,0.38225,4.1e-05,1.754
106,0.017958,0.095542,1.13125,0.366292,8.3e-05,1.61112
107,0.015917,0.083375,1.10229,0.358334,0,1.55992
108,0.016083,0.078417,1.11958,0.5845,0,1.79858
109,0.016375,0.0895,1.11221,0.4365,8.3e-05,1.65467
110,0.01825,0.106958,1.17142,0.380458,0.00025,1.67733
111,0.016042,0.089583,1.09592,0.369541,4.2e-05,1.57113
112,0.016083,0.0845,1.08662,0.3595,4.2e-05,1.54675
113,0.02075,0.083792,1.12996,0.381709,4.1e-05,1.61625
114,0.016958,0.087542,1.10196,0.495375,0.000209,1.70204
115,0.017625,0.093,1.26921,0.385333,0.000125,1.76529
116,0.017167,0.098083,1.16279,0.371,4.1e-05,1.64908
117,0.016708,0.086459,1.09512,0.346541,8.4e-05,1.54492
118,0.015791,0.081209,1.08462,0.359,0,1.54062
119,0.015875,0.078917,1.143,0.364541,0,1.60233
