frame,simulation_ms,ui_ms,render_ms,total_ms
0,2.87517,0.12875,2.08092,5.08483
1,3.03275,0.112833,2.701,5.84658
2,2.82671,0.115458,2.06671,5.00887
3,3.15808,0.121125,2.00558,5.28479
4,2.8265,0.116334,2.18225,5.12508
5,3.03442,0.108667,1.90379,5.04688
6,2.82458,0.111458,1.91246,4.8485
7,2.98612,0.103917,4.78121,7.87125
8,2.87879,0.115792,1.97446,4.96904
9,3.14204,0.115958,1.94408,5.20208
10,2.70746,0.108708,2.33804,5.15421
11,3.14242,0.113459,1.92425,5.18013
12,2.87429,0.110166,1.92958,4.91404
13,3.00838,0.105292,12.4267,15.5403
14,2.77004,0.1535,1.70454,4.62808
15,2.98238,0.149125,1.89817,5.02967
16,2.67229,0.118084,1.88629,4.67667
17,3.07042,0.120625,1.90792,5.09896
18,2.60704,0.111417,1.95425,4.67271
19,2.94479,0.115583,1.83967,4.90004
20,2.61108,0.124791,1.95921,4.69508
21,2.94492,0.117375,1.75479,4.81708
22,2.87017,0.127875,1.73421,4.73225
23,2.79237,0.102125,1.69129,4.58579
24,2.69479,0.1095,1.70925,4.51354
25,2.86479,0.102375,4.25012,7.21729
26,2.58483,0.124542,1.75217,4.46154
27,2.997,0.117875,1.70487,4.81975
28,2.63037,0.136417,1.64717,4.41396
29,2.99071,0.128875,1.63804,4.75762
30,2.69146,0.103209,2.09404,4.88871
31,2.87887,0.108584,1.86546,4.85292
32,2.69121,0.118708,1.79821,4.60813
33,2.90346,0.1145,1.73308,4.75104
34,2.90837,0.114541,1.68788,4.71079
35,2.89583,0.105917,1.6295,4.63125
36,2.72871,0.112416,1.88712,4.72825
37,2.82933,0.101167,1.97371,4.90421
38,2.83183,0.121458,1.64488,4.59817
39,2.92188,0.116083,1.77271,4.81067
40,2.58958,0.103292,1.62858,4.32146
41,3.04142,0.127958,1.68596,4.85533
42,2.54208,0.098584,1.69633,4.337
43,3.00188,0.111375,10.3464,13.4597
44,2.61733,0.115208,2.08988,4.82242
45,2.99167,0.111166,1.93738,5.04021
46,2.56604,0.116833,2.27254,4.95542
47,2.80337,0.107083,2.00988,4.92033
48,2.78679,0.114917,1.90925,4.81096
49,2.86542,0.103833,2.50621,5.47546
50,2.81425,0.1175,1.94521,4.87696
51,2.89412,0.124542,1.77779,4.79646
52,2.58183,0.102083,1.70033,4.38425
53,2.95075,0.107792,1.65129,4.70983
54,2.54988,0.098958,1.69533,4.34417
55,2.92967,0.115333,1.83946,4.88446
56,2.67583,0.116792,1.6595,4.45212
57,2.90121,0.126167,1.66029,4.68767
58,2.60096,0.098042,1.77829,4.47729
59,2.91646,0.104584,1.64629,4.66733
60,2.56413,0.096625,2.02271,4.68346
61,2.76933,0.110041,1.77388,4.65325
62,2.74296,0.154875,1.79583,4.69367
63,2.84088,0.106333,1.68246,4.62967
64,2.73367,0.112708,1.69025,4.53662
65,2.86004,0.119083,1.74092,4.72004
66,2.66842,0.12175,1.88267,4.67283
67,2.75475,0.106666,1.81163,4.67304
68,2.72067,0.113666,1.654,4.48833
69,2.84313,0.124792,1.81433,4.78225
70,2.59317,0.105125,1.98338,4.68167
71,2.96137,0.1125,1.68329,4.75717
72,2.55658,0.098834,1.74221,4.39762
73,3.03613,0.143917,1.79054,4.97058
74,2.66312,0.11075,1.74929,4.52317
75,2.80875,0.112625,1.66025,4.58162
76,2.57642,0.100875,1.85292,4.53021
77,2.88946,0.11025,1.64567,4.64537
78,2.63292,0.115875,1.89512,4.64392
79,2.80833,0.114917,1.69521,4.61846
80,2.69762,0.133125,1.76129,4.59204
81,2.84596,0.111791,1.67929,4.63704
82,2.75054,0.108583,1.69237,4.5515
83,2.82458,0.101208,1.65842,4.58421
84,2.70662,0.128834,1.82375,4.65921
85,2.83775,0.110625,1.79479,4.74317
86,2.64183,0.107042,1.66967,4.41854
87,2.80929,0.127542,1.83421,4.77104
88,2.57871,0.10525,1.60808,4.29204
89,2.915,0.125041,1.73962,4.77967
90,2.74229,0.124333,2.04113,4.90775
91,2.97996,0.119167,1.75558,4.85471
92,2.5555,0.140916,1.72958,4.426
93,2.8805,0.117208,1.67092,4.66862
94,2.53871,0.102541,1.79858,4.43983
95,2.90892,0.109917,1.65917,4.678
96,2.57229,0.124667,1.91688,4.61383
97,2.82008,0.111125,1.65413,4.58533
98,2.66983,0.106458,1.63688,4.41317
99,2.72292,0.099041,1.74317,4.56513
100,2.77917,0.1095,1.71496,4.60363
101,2.72363,0.129167,1.6465,4.49929
102,2.73517,0.107875,1.78133,4.62437
103,2.75762,0.114125,1.77062,4.64238
104,2.77637,0.111583,1.79313,4.68108
105,2.73283,0.097375,1.8155,4.64571
106,2.578,0.110166,1.64342,4.33158
107,3.02687,0.1305,1.81267,4.97004
108,2.57621,0.104417,1.8175,4.49812
109,2.93179,0.128375,1.75021,4.81037
110,2.60125,0.103583,2.00121,4.70604
111,3.00279,0.107459,1.70267,4.81292
112,2.57362,0.103125,1.72583,4.40258
113,2.816,0.107542,1.6745,4.59804
114,2.63546,0.112208,1.96929,4.71696
115,2.77712,0.1095,1.70829,4.59492
116,2.65912,0.143333,1.76196,4.56442
117,2.8145,0.107958,1.70604,4.6285
118,2.7835,0.118292,1.70208,4.60388
119,2.69525,0.109208,1.66538,4.46983
