frame,simulation_ms,ui_ms,render_ms,total_ms
127,2.70696,0.112917,1.73317,4.55304
128,2.59529,0.12275,1.7395,4.45754
129,2.67017,0.10225,1.662,4.43442
130,2.58546,0.128708,2.01142,4.72558
131,2.65229,0.094166,1.71292,4.45937
132,2.74337,0.106083,1.748,4.59746
133,2.74475,0.102709,1.78454,4.632
134,2.6135,0.115708,1.73588,4.46508
135,2.71858,0.109917,1.73492,4.56342
136,2.52708,0.104625,1.62825,4.25996
137,2.66017,0.0965,1.72558,4.48225
138,2.52838,0.105875,1.73817,4.37242
139,2.7675,0.134667,1.91654,4.81871
140,2.53346,0.109792,1.691,4.33425
141,2.84667,0.128625,1.70233,4.67762
142,2.56575,0.104584,1.67813,4.34846
143,2.85646,0.108417,1.65046,4.61533
144,2.48075,0.10975,1.83392,4.42442
145,2.75517,0.118041,1.67146,4.54467
146,2.45571,0.100125,1.76808,4.32392
147,2.84929,0.106208,1.64633,4.60183
148,2.48113,0.101459,1.68958,4.27217
149,2.80821,0.108333,1.65604,4.57258
150,2.51221,0.103042,2.38521,5.00046
151,2.697,0.109625,1.70246,4.50908
152,2.64608,0.134458,1.65517,4.43571
153,2.72475,0.106875,1.80171,4.63333
154,2.81408,0.12425,1.83375,4.77208
155,2.77321,0.113958,1.85083,4.738
156,2.77221,0.120583,1.75733,4.65013
157,2.81833,0.117625,1.77238,4.70833
158,2.61888,0.1125,1.75046,4.48183
159,2.88496,0.11125,1.8205,4.81671
160,2.73979,0.111292,1.82117,4.67225
161,2.93463,0.119375,1.87025,4.92425
162,2.69104,0.141917,1.89029,4.72325
163,2.85792,0.124084,1.74371,4.72571
164,2.57933,0.112,1.7715,4.46283
165,2.83842,0.126666,1.74158,4.70667
166,2.489,0.103,1.83058,4.42258
167,2.68233,0.111542,1.71338,4.50725
168,2.58096,0.109208,1.88454,4.57471
169,2.66562,0.111708,1.71683,4.49417
170,2.59983,0.117292,2.03458,4.75171
171,2.6205,0.09575,1.6775,4.39375
172,2.61129,0.105375,1.65187,4.36854
173,2.62538,0.105792,1.74638,4.47754
174,2.65771,0.122,1.71513,4.49483
175,2.66742,0.099875,1.79621,4.5635
176,2.60267,0.110333,1.63721,4.35021
177,2.63358,0.103166,1.68667,4.42342
178,2.61925,0.10725,1.6465,4.373
179,2.70171,0.099625,1.95696,4.75829
