frame,simulation_ms,ui_ms,render_ms,total_ms
0,7.25421,0.14575,2.33421,9.73417
1,8.68233,0.143917,4.45638,13.2826
2,7.43767,0.144625,2.16171,9.744
3,8.3875,0.144125,2.2535,10.7851
4,7.30846,0.14525,2.3135,9.76721
5,8.69217,0.141792,2.44321,11.2772
6,7.35825,0.140959,2.18604,9.68525
7,8.40675,0.1405,2.35529,10.9025
8,7.36917,0.15425,2.10292,9.62633
9,8.45733,0.182541,1.94871,10.5886
10,7.74975,0.150834,2.20421,10.1048
11,8.29429,0.1435,1.94625,10.384
12,7.27463,0.152375,1.99521,9.42221
13,8.45033,0.1475,2.19454,10.7924
14,7.26208,0.170875,2.11,9.54296
15,8.49696,0.145375,1.90375,10.5461
16,7.30246,0.146542,1.93525,9.38425
17,8.339,0.147167,2.08158,10.5678
18,7.21646,0.1515,2.05392,9.42188
19,8.51554,0.1425,2.08883,10.7469
20,7.36754,0.14275,1.89663,9.40692
21,8.45071,0.144542,2.29663,10.8919
22,7.28258,0.141625,1.96487,9.38908
23,8.74362,0.15525,1.94042,10.8393
24,7.40121,0.145958,2.01054,9.55771
25,8.57879,0.143458,2.02258,10.7448
26,7.39112,0.145625,1.99829,9.53504
27,8.67283,0.146042,2.12775,10.9466
28,7.35646,0.19775,2.03258,9.58679
29,8.43487,0.138334,1.86467,10.4379
30,7.20038,0.1475,2.43608,9.78396
31,8.35812,0.14625,2.05463,10.559
32,7.57892,0.164791,2.17346,9.91717
33,8.30987,0.1455,1.87375,10.3291
34,7.21267,0.140167,1.89,9.24283
35,8.39862,0.140291,2.05071,10.5896
36,7.15979,0.140875,2.1075,9.40817
37,8.84863,0.162417,2.20842,11.2195
38,7.10558,0.146584,1.92121,9.17338
39,8.35925,0.145708,1.96012,10.4651
40,7.06754,0.14,1.98983,9.19737
41,8.42413,0.1525,2.07129,10.6479
42,6.98483,0.14225,2.21246,9.33954
43,8.49696,0.144459,1.90042,10.5418
44,7.09492,0.279959,2.07771,9.45258
45,8.5805,0.157667,2.24858,10.9868
46,7.22262,0.149542,2.07238,9.44454
47,8.14383,0.159708,2.05788,10.3614
48,7.18933,0.154375,2.06792,9.41163
49,8.29596,0.1495,1.94583,10.3913
50,7.133,0.146875,2.32112,9.601
51,8.59996,0.144167,2.04083,10.785
52,7.361,0.168334,2.28967,9.819
53,8.37204,0.149542,2.00675,10.5283
54,7.16042,0.141917,1.93312,9.23546
55,8.27946,0.181583,2.05229,10.5133
56,7.27708,0.146875,2.03121,9.45517
57,8.16475,0.181,2.01308,10.3588
58,7.109,0.145542,1.90171,9.15625
59,8.40729,0.145,2.03496,10.5872
60,7.35371,0.152459,1.95308,9.45925
61,8.24525,0.151917,2.00008,10.3972
62,7.09558,0.138625,2.05504,9.28925
63,8.19054,0.144709,1.90733,10.2426
64,7.23675,0.145208,1.8765,9.25846
65,8.20796,0.135417,2.23525,10.5786
66,7.673,0.171625,2.04808,9.89271
67,8.43613,0.17575,2.16296,10.7748
68,7.38646,0.141542,2.15088,9.67887
69,8.22329,0.145583,1.90329,10.2722
70,7.0505,0.139958,2.2755,9.46596
71,8.1445,0.145208,2.11225,10.402
72,7.19229,0.150708,2.12821,9.47121
73,8.15883,0.151833,2.00263,10.3133
74,7.08175,0.153083,1.92629,9.16113
75,8.05138,0.142666,1.94958,10.1436
76,7.01929,0.191709,1.95454,9.16554
77,8.30158,0.165208,2.33992,10.8067
78,7.216,0.166834,2.17158,9.55442
79,8.25333,0.145375,1.91567,10.3144
80,7.12925,0.149875,1.93362,9.21275
81,8.16771,0.140542,2.0015,10.3097
82,7.043,0.151792,2.15212,9.34692
83,8.34108,0.194042,2.13525,10.6704
84,7.13462,0.150375,1.91796,9.20296
85,8.17088,0.148125,1.90929,10.2283
86,7.47675,0.146833,1.9745,9.59808
87,8.38658,0.152416,2.0105,10.5495
88,7.142,0.151041,2.11875,9.41179
89,8.73996,0.157958,2.06192,10.9598
90,7.74592,0.148666,2.41908,10.3137
91,8.71738,0.156709,2.42679,11.3009
92,7.16225,0.147333,2.13529,9.44487
93,8.25367,0.146333,1.92663,10.3266
94,7.02271,0.139375,1.99279,9.15488
95,8.41812,0.1425,2.015,10.5756
96,7.09646,0.190583,1.92846,9.2155
97,8.46833,0.154792,2.15217,10.7753
98,7.083,0.174875,1.96871,9.22658
99,8.32113,0.143084,1.919,10.3832
100,7.10775,0.14775,2.04533,9.30083
101,8.27238,0.156125,1.98154,10.41
102,7.47992,0.165416,2.19971,9.84504
103,8.55529,0.1505,2.0205,10.7263
104,7.61417,0.160333,2.0465,9.821
105,8.31433,0.158583,2.17958,10.6525
106,7.65292,0.159083,2.30217,10.1142
107,8.65883,0.149666,1.95,10.7585
108,7.07521,0.138708,1.89683,9.11075
109,8.47908,0.132792,1.96412,10.576
110,7.07829,0.140833,2.35575,9.57488
111,8.06046,0.152791,2.10204,10.3153
112,6.99354,0.13475,2.05267,9.18096
113,8.09921,0.136416,1.90892,10.1445
114,7.09017,0.140208,1.90396,9.13433
115,7.98271,0.136334,1.96575,10.0848
116,7.00779,0.145792,1.96296,9.11654
117,8.1085,0.145792,2.09271,10.347
118,7.02292,0.142292,2.05392,9.21913
119,8.25129,0.149208,1.937,10.3375
120,7.35021,0.152416,1.95971,9.46233
121,8.08612,0.137625,2.00054,10.2243
122,7.27671,0.145625,2.28208,9.70442
123,8.15525,0.147167,2.19512,10.4975
124,7.33279,0.144833,1.91183,9.38946
125,8.5945,0.140334,1.90729,10.6421
126,7.04421,0.135834,1.92075,9.10079
127,8.10892,0.139667,1.95408,10.2027
128,7.18262,0.14275,2.01679,9.34217
129,7.85142,0.175166,2.40833,10.4349
130,7.12033,0.145291,2.27675,9.54237
131,8.13575,0.140917,1.88042,10.1571
132,7.17513,0.137334,1.97208,9.28454
133,8.08367,0.141,2.02033,10.245
134,6.97071,0.150542,1.99533,9.11658
135,8.12858,0.168292,2.61146,10.9083
136,7.18721,0.146709,1.92008,9.254
137,7.9345,0.139333,1.92063,9.99446
138,7.04213,0.140417,1.96504,9.14758
139,7.99042,0.148542,2.01967,10.1586
140,7.43271,0.146917,2.28542,9.86504
141,8.01454,0.143167,1.948,10.1057
142,7.15517,0.147708,1.91704,9.21992
143,7.99429,0.131208,1.97871,10.1042
144,7.18033,0.148667,2.01725,9.34625
145,7.95575,0.158292,2.01796,10.132
146,6.97433,0.1485,2.13821,9.26104
147,7.97637,0.141375,1.8945,10.0122
148,7.29421,0.143709,1.89042,9.32833
149,7.84979,0.145542,1.92762,9.92296
150,6.91758,0.139542,2.29171,9.34883
151,8.31629,0.161709,2.29258,10.7706
152,7.12021,0.162416,2.21771,9.50033
153,8.00962,0.142083,2.03675,10.1885
154,7.20404,0.134208,2.15129,9.48954
155,8.03779,0.139875,2.09029,10.268
156,7.05175,0.13975,1.92687,9.11838
157,8.10879,0.150625,2.11633,10.3758
158,6.89483,0.152833,2.04492,9.09258
159,7.90421,0.137083,1.91125,9.95254
160,7.28996,0.140167,1.89879,9.32892
161,7.95625,0.142625,2.02917,10.128
162,7.2255,0.160917,1.95417,9.34058
163,7.96683,0.152292,2.05692,10.176
164,7.73758,0.147333,2.02488,9.90979
165,8.03417,0.154334,1.92538,10.1139
166,6.97642,0.138292,1.97271,9.08742
167,7.78058,0.139584,1.93867,9.85883
168,7.03608,0.147542,1.99992,9.18354
169,7.92517,0.13925,2.2075,10.2719
170,7.10696,0.1595,2.27712,9.54358
171,7.86892,0.138333,1.85833,9.86558
172,6.95917,0.135333,1.84292,8.93742
173,8.05438,0.14325,1.93992,10.1375
174,7.09213,0.155,1.96263,9.20975
175,8.26863,0.144,2.11375,10.5264
176,7.01558,0.166208,2.02333,9.20513
177,7.83025,0.142,1.99575,9.968
178,7.09488,0.151125,1.87062,9.11663
179,8.03163,0.147208,2.30996,10.4888
