frame,input_ms,ui_ms,draw_ms,total_ms
0,0.01675,0.064334,8.89242,8.9735
1,0.014042,0.059208,8.31721,8.39046
2,0.015167,0.056875,8.27742,8.34946
3,0.014583,0.05825,16.4208,16.4936
4,0.02,0.08225,8.27979,8.38204
5,0.014083,0.062417,9.17242,9.24892
6,0.016042,0.059958,8.78542,8.86142
7,0.013208,0.057917,8.77404,8.84517
8,0.016333,0.06,9.10004,9.17638
9,0.013708,0.068875,8.72063,8.80321
10,0.014542,0.056333,8.50983,8.58071
11,0.012208,0.063667,8.819,8.89488
12,0.013708,0.056959,8.67962,8.75029
13,0.010958,0.056792,8.58638,8.65413
14,0.015291,0.059417,9.089,9.16371
15,0.015,0.062667,8.49408,8.57175
16,0.015917,0.062583,8.81821,8.89671
17,0.011625,0.062125,8.22117,8.29492
18,0.014292,0.063958,7.90146,7.97971
19,0.0115,0.058792,7.58792,7.65821
20,0.012584,0.052791,7.88125,7.94663
21,0.010875,0.053792,7.84246,7.90712
22,0.013875,0.0665,7.33346,7.41383
23,0.010666,0.054292,7.82133,7.88629
24,0.013292,0.055625,7.49787,7.56679
25,0.010208,0.050625,7.96667,8.0275
26,0.012917,0.054333,7.80887,7.87613
27,0.010708,0.052834,7.39333,7.45688
28,0.011292,0.056083,8.06429,8.13167
29,0.009542,0.0535,7.81629,7.87933
30,0.012875,0.050417,7.37621,7.4395
31,0.010333,0.04825,8.06617,8.12475
32,0.013125,0.058875,8.05683,8.12883
33,0.011958,0.059292,7.95967,8.03092
34,0.013667,0.055125,8.04225,8.11104
35,0.01125,0.057667,7.44046,7.50938
36,0.011708,0.051208,7.20325,7.26617
37,0.008542,0.046167,7.24613,7.30083
38,0.015458,0.058917,7.94979,8.02417
39,0.01075,0.050791,7.87133,7.93288
40,0.01575,0.053333,7.92717,7.99625
41,0.010083,0.050875,7.96379,8.02475
42,0.0125,0.056708,7.30063,7.36983
43,0.009334,0.049125,8.058,8.11646
44,0.011334,0.048583,7.81538,7.87529
45,0.012667,0.054042,7.48621,7.55292
46,0.01275,0.050083,8.25004,8.31288
47,0.010667,0.0585,7.58692,7.65608
48,0.012042,0.051833,7.99567,8.05954
49,0.0105,0.057291,7.80696,7.87475
50,0.013083,0.059292,7.95437,8.02675
51,0.012667,0.056833,7.3225,7.392
52,0.014334,0.05925,7.29342,7.367
53,0.0085,0.054208,7.59204,7.65475
54,0.012,0.054542,8.01908,8.08563
55,0.010834,0.055791,7.37029,7.43692
56,0.01225,0.049959,7.89746,7.95967
57,0.009625,0.051125,7.37462,7.43537
58,0.012584,0.048583,7.90137,7.96254
59,0.009916,0.049917,7.52021,7.58004
60,0.010834,0.048333,8.1275,8.18667
61,0.009125,0.050042,7.61388,7.67304
62,0.012125,0.050709,7.89213,7.95496
63,0.010042,0.053625,8.02496,8.08863
64,0.011459,0.052416,8.05892,8.12279
65,0.013958,0.054042,7.392,7.46
66,0.011167,0.055541,7.30942,7.37613
67,0.009083,0.05075,7.56692,7.62675
68,0.012292,0.053,8.01242,8.07771
69,0.0095,0.052042,7.93637,7.99792
70,0.013167,0.052083,7.55275,7.618
71,0.009625,0.050125,7.89392,7.95367
72,0.011666,0.04825,7.38967,7.44958
73,0.009208,0.048708,7.46675,7.52467
74,0.011334,0.047041,8.16642,8.22479
75,0.009833,0.048,8.10925,8.16708
76,0.012458,0.051708,7.94313,8.00729
77,0.009792,0.049833,7.55258,7.61221
78,0.011708,0.049583,8.14312,8.20442
79,0.00975,0.049958,8.04063,8.10033
80,0.011333,0.051,7.41162,7.47396
81,0.0095,0.05,8.00563,8.06513
82,0.013167,0.05225,7.95729,8.02271
83,0.012291,0.05925,7.48179,7.55333
84,0.015208,0.0815,7.32683,7.42354
85,0.008792,0.04675,7.37362,7.42917
86,0.012208,0.058042,7.62279,7.69304
87,0.009458,0.04875,7.35617,7.41437
88,0.011625,0.048625,7.38575,7.446
89,0.009541,0.047667,7.80146,7.85867
90,0.011791,0.050917,7.70833,7.77104
91,0.010334,0.047458,7.65758,7.71537
92,0.010917,0.051667,8.05712,8.11971
93,0.009875,0.051916,7.41225,7.47404
94,0.01075,0.051041,7.38288,7.44467
95,0.008875,0.0505,7.79696,7.85633
96,0.014209,0.056583,8.02558,8.09638
97,0.010791,0.06,7.46954,7.54033
98,0.012083,0.054,7.38229,7.44838
99,0.008667,0.046,7.80467,7.85933
100,0.014542,0.049666,7.88129,7.9455
101,0.009417,0.0485,7.39304,7.45096
102,0.011708,0.048584,7.35746,7.41775
103,0.009083,0.047625,7.65525,7.71196
104,0.010167,0.047625,7.69588,7.75367
105,0.009375,0.050625,7.97346,8.03346
106,0.0125,0.051334,8.02296,8.08679
107,0.010583,0.050417,7.72408,7.78508
108,0.011791,0.057334,7.94787,8.017
109,0.009792,0.057042,7.99787,8.06471
110,0.016041,0.058209,7.50367,7.57792
111,0.011959,0.056375,7.76675,7.83508
112,0.014542,0.052708,7.73154,7.79879
113,0.009833,0.057375,7.3335,7.40071
114,0.011709,0.052875,7.25396,7.31854
115,0.008709,0.047875,7.95162,8.00821
116,0.01175,0.048334,7.37629,7.43637
117,0.009625,0.050167,7.80629,7.86608
118,0.011792,0.052167,7.64992,7.71387
119,0.014541,0.055792,7.487,7.55733
