frame,input_simulation_ms,ui_ms,world_ms,screen_ms,display_ms,total_ms
0,0.016667,0.095875,1.53592,0.415084,0.000166,2.06371
1,0.015875,0.0875,1.31896,0.408583,0.000459,1.83137
2,0.017292,0.103958,1.35787,0.4195,0.000292,1.89892
3,0.018584,0.112833,1.33262,0.415042,0,1.87908
4,0.017042,0.096458,1.11221,0.456959,0.000166,1.68283
5,0.016167,0.084458,1.11896,0.3515,0.000167,1.57125
6,0.016958,0.086959,1.18863,0.360458,0.000167,1.65317
7,0.016875,0.090166,1.24892,0.387417,4.1e-05,1.74342
8,0.018417,0.111542,1.36675,0.376125,0.000208,1.87304
9,0.017083,0.094542,1.15417,0.363041,0.000584,1.62942
10,0.019459,0.090333,1.26133,0.564875,0.000792,1.93679
11,0.028875,0.145875,1.29304,0.43475,0.000333,1.90288
12,0.021709,0.117458,1.34017,0.391375,0.000416,1.87112
13,0.018333,0.109667,1.194,0.367625,0.000375,1.69
14,0.017958,0.091667,1.14375,0.358791,0.000334,1.6125
15,0.015708,0.087667,1.12883,0.398709,0.000416,1.63133
16,0.018,0.093208,1.17275,0.522083,0.000375,1.80642
17,0.022,0.110541,1.21342,0.371,0.000292,1.71725
18,0.017333,0.089292,1.13037,0.350083,0.000209,1.58729
19,0.016,0.083833,1.12679,0.349291,8.4e-05,1.576
20,0.016042,0.084,1.4315,0.361792,0.000333,1.89367
21,0.017458,0.094542,1.16583,0.393,0.000417,1.67125
22,0.019542,0.095958,1.14696,0.4745,0.00025,1.73721
23,0.017125,0.086458,1.14754,0.359708,0.000167,1.611
24,0.016417,0.086792,1.14554,0.352042,0.000167,1.60096
25,0.016209,0.082833,1.15996,0.382959,0.000125,1.64208
26,0.018375,0.093417,1.18525,0.376417,0.000208,1.67367
27,0.0175,0.096875,1.35175,0.365625,0.000208,1.83196
28,0.01675,0.0935,1.14596,0.455125,0.00025,1.71158
29,0.016833,0.085458,1.15187,0.366209,0.000125,1.6205
30,0.016833,0.090167,1.18637,0.377333,4.2e-05,1.67075
31,0.017542,0.094083,1.21996,0.392166,0.000334,1.72408
32,0.018459,0.0985,1.23542,0.365834,0.000125,1.71833
33,0.017167,0.094083,1.14017,0.354416,0.000167,1.606
34,0.016667,0.082875,1.1355,0.347958,0.000167,1.58317
35,0.016,0.080084,1.2965,0.377,8.3e-05,1.76967
36,0.017125,0.095792,1.23996,0.4045,0.000167,1.75754
37,0.020542,0.111917,1.23683,0.372625,0.000458,1.74238
38,0.017292,0.09875,1.21175,0.352791,0.000209,1.68079
39,0.01725,0.086333,1.14317,0.347458,0.000125,1.59433
40,0.015792,0.091542,1.47058,0.364542,0.000125,1.94258
41,0.016334,0.0875,1.34629,0.378667,0.000125,1.82892
42,0.017833,0.101167,1.18037,0.350583,0.000125,1.65008
43,0.016625,0.086791,1.12925,0.350167,0.000125,1.58296
44,0.016917,0.084791,1.13583,0.355375,0.000541,1.59346
45,0.018792,0.099958,1.16279,0.354958,0.000209,1.63671
46,0.016291,0.086584,1.2675,0.377208,0.000292,1.74788
47,0.017625,0.097125,1.34079,0.458625,0.000291,1.91446
48,0.017125,0.090625,1.16642,0.356042,0.000125,1.63033
49,0.016541,0.087375,1.14425,0.367042,8.3e-05,1.61529
50,0.021375,0.091541,1.17146,0.36075,0.000208,1.64533
51,0.016958,0.0975,1.25696,0.433583,0.000167,1.80517
52,0.018542,0.1,1.158,0.489542,0.000166,1.76625
53,0.017083,0.087333,1.14283,0.666958,0.000292,1.9145
54,0.017083,0.090459,1.18283,0.372083,0.000584,1.66304
55,0.01775,0.102667,1.17896,0.415917,0.000125,1.71542
56,0.02175,0.095667,1.20475,0.364125,0.000208,1.6865
57,0.016625,0.090416,1.11883,0.355125,0.000125,1.58112
58,0.0165,0.081,1.13462,0.348167,0.00025,1.58054
59,0.015833,0.080417,1.14,0.507791,0.000167,1.74421
60,0.017625,0.09475,1.45975,0.384084,0.000166,1.95637
61,0.018042,0.09825,1.31942,0.367083,8.3e-05,1.80288
62,0.017291,0.094167,1.15217,0.354833,0.000125,1.61858
63,0.016833,0.084334,1.12883,0.349,0.000375,1.57937
64,0.015666,0.08125,1.23642,0.367958,0.000167,1.70146
65,0.016833,0.092292,1.16621,0.512334,0.000166,1.78783
66,0.01925,0.098542,1.20875,0.359583,0.000125,1.68625
67,0.016583,0.08675,1.13092,0.362375,0.000333,1.59696
68,0.01575,0.081666,1.13104,0.3465,8.3e-05,1.57504
69,0.015959,0.081625,1.215,0.373958,0.00025,1.68679
70,0.017167,0.087583,1.18454,0.390625,0.000167,1.68008
71,0.021209,0.099,1.27529,0.452084,0.000291,1.84787
72,0.017666,0.094209,1.19408,0.365792,0.000208,1.67196
73,0.017083,0.087417,1.14296,0.350917,0.000333,1.59871
74,0.017334,0.089666,1.2035,0.359167,0.000167,1.66983
75,0.0165,0.086583,1.20479,0.422875,0.000166,1.73092
76,0.023459,0.105958,1.22246,0.363042,0.00025,1.71517
77,0.017416,0.090875,1.11888,0.455667,0.000292,1.68312
78,0.016375,0.083834,1.15762,0.360375,0.000208,1.61842
79,0.017584,0.089208,1.21063,0.362417,4.1e-05,1.67988
80,0.016709,0.091125,1.55921,0.383042,8.3e-05,2.05017
81,0.017417,0.09625,1.14775,0.353,0.000292,1.61471
82,0.01675,0.08375,1.11292,0.351708,0.000125,1.56525
83,0.016125,0.083417,1.11363,0.441291,0.000292,1.65475
84,0.016209,0.090291,1.31787,0.376667,4.2e-05,1.80108
85,0.016875,0.094625,1.31838,0.413542,0.000417,1.84383
86,0.019458,0.1005,1.17975,0.372834,8.3e-05,1.67263
87,0.0165,0.087167,1.13542,0.352292,4.2e-05,1.59142
88,0.016792,0.083125,1.099,0.352208,0.000208,1.55133
89,0.015792,0.084708,1.26283,0.445166,4.2e-05,1.80854
90,0.018459,0.102916,1.30233,0.373375,8.3e-05,1.79717
91,0.018083,0.100708,1.23354,0.351417,0.000166,1.70392
92,0.016625,0.086167,1.1285,0.346708,4.2e-05,1.57804
93,0.016166,0.0815,1.12662,0.396459,0.000416,1.62117
94,0.020625,0.125667,1.171,0.37075,0.000167,1.68821
95,0.017708,0.0925,1.29825,0.398334,0.000166,1.80696
96,0.017833,0.099125,1.31379,0.3695,0.000167,1.80042
97,0.017292,0.091875,1.13571,0.357375,0.000167,1.60242
98,0.017209,0.085791,1.12808,0.411583,0.000167,1.64283
99,0.016833,0.089125,1.15829,0.400333,0.000292,1.66488
100,0.018041,0.104125,1.56787,0.372959,0.000166,2.06317
101,0.018042,0.093541,1.14775,0.35975,8.4e-05,1.61917
102,0.016041,0.083792,1.31204,0.44375,0.000333,1.85596
103,0.016458,0.089167,1.27258,0.376625,8.3e-05,1.75492
104,0.018208,0.0945,1.20267,0.442583,0.000292,1.75825
105,0.017667,0.09425,1.16229,0.350375,0.000166,1.62475
106,0.016708,0.083542,1.12283,0.347625,0.000333,1.57104
107,0.015875,0.081167,1.08408,0.353292,0.000333,1.53475
108,0.016708,0.081583,1.22779,0.531042,8.3e-05,1.85721
109,0.017,0.0965,1.23508,0.392208,0.000167,1.74096
110,0.018916,0.140375,1.28192,0.367083,0.000125,1.80842
111,0.016958,0.092917,1.11079,0.359125,0.000208,1.58
112,0.016292,0.084583,1.13479,0.352958,8.4e-05,1.58871
113,0.016,0.081333,1.21383,0.360125,0.000167,1.67146
114,0.017167,0.085458,1.23983,0.466042,0.000417,1.80892
115,0.018,0.103208,1.23233,0.353083,0.000167,1.70679
116,0.016167,0.086125,1.12517,0.343125,0.00025,1.57083
117,0.016417,0.083208,1.12579,0.342333,0.000167,1.56792
118,0.015875,0.091459,1.24304,0.364209,0.000125,1.71471
119,0.016125,0.082625,1.19417,0.408583,4.2e-05,1.70154
