frame,simulation_ms,ui_ms,render_ms,total_ms
0,7.33054,0.143875,2.19525,9.66967
1,8.76017,0.140708,4.54096,13.4418
2,7.72383,0.158833,2.28863,10.1713
3,8.74546,0.140666,2.28325,11.1694
4,7.39621,0.137541,2.29387,9.82762
5,8.90079,0.14475,2.49037,11.5359
6,7.45508,0.138042,2.20683,9.79996
7,8.80258,0.154708,2.39729,11.3546
8,7.49058,0.159458,2.07737,9.72742
9,8.57263,0.146583,1.92621,10.6454
10,7.93063,0.151083,2.27133,10.353
11,8.51104,0.138291,1.98162,10.631
12,7.41613,0.15775,2.10054,9.67442
13,8.77429,0.148875,2.21392,11.1371
14,7.50904,0.156,2.21829,9.88333
15,8.61129,0.13925,2.03012,10.7807
16,7.38992,0.142625,2.02988,9.56242
17,8.60733,0.14825,1.94529,10.7009
18,7.43167,0.140541,1.92783,9.50004
19,8.55575,0.137292,2.08496,10.778
20,7.43521,0.141375,1.99571,9.57229
21,8.68742,0.142334,2.30779,11.1375
22,7.37483,0.134916,1.98529,9.49504
23,8.62538,0.139917,1.90292,10.6682
24,7.29362,0.142459,2.10787,9.54396
25,8.64192,0.142667,1.99075,10.7753
26,7.25433,0.135708,2.06288,9.45292
27,8.59479,0.142708,1.92567,10.6632
28,7.28862,0.142625,1.913,9.34425
29,8.46738,0.138458,2.02433,10.6302
30,7.36092,0.136792,2.48596,9.98367
31,8.55762,0.147375,1.92242,10.6274
32,8.01896,0.156083,1.94588,10.1209
33,8.44037,0.139625,1.97188,10.5519
34,7.28075,0.139583,1.97075,9.39108
35,8.65137,0.208167,2.04321,10.9027
36,7.34983,0.152375,2.20067,9.70288
37,8.71112,0.149125,2.22179,11.082
38,7.36167,0.141292,2.03742,9.54037
39,8.44342,0.141959,2.11333,10.6987
40,7.44229,0.155625,1.9455,9.54342
41,8.41604,0.140584,2.00829,10.5649
42,7.25746,0.135041,2.15788,9.55038
43,8.63738,0.170041,2.09896,10.9064
44,7.11883,0.136,2.079,9.33383
45,8.58425,0.144875,2.21413,10.9433
46,7.35567,0.13975,1.92279,9.41821
47,8.36592,0.133333,1.96192,10.4612
48,7.44512,0.157916,2.22525,9.82829
49,8.48129,0.144042,1.92517,10.5505
50,7.30379,0.141958,2.2685,9.71425
51,8.87571,0.146167,1.92562,10.9475
52,7.55129,0.138667,2.27279,9.96275
53,8.62175,0.163458,2.23329,11.0185
54,7.31608,0.14425,1.94087,9.40121
55,8.41113,0.13925,1.91063,10.461
56,7.38796,0.141167,1.96792,9.49704
57,8.37167,0.146042,2.07933,10.597
58,7.12204,0.165208,2.17329,9.46054
59,8.43796,0.150375,2.0985,10.6868
60,7.26825,0.153084,2.08354,9.50488
61,8.33587,0.14175,1.96375,10.4414
62,7.32575,0.141,2.03729,9.50404
63,8.2735,0.136041,1.95758,10.3671
64,7.44042,0.141375,1.94162,9.52342
65,8.31692,0.135083,2.09242,10.5444
66,7.77471,0.148291,1.95675,9.87975
67,8.35754,0.146042,2.13608,10.6397
68,7.50533,0.138709,2.20092,9.84496
69,8.39663,0.137542,1.91179,10.446
70,7.20367,0.136958,2.25117,9.59179
71,8.30183,0.137958,2.19167,10.6315
72,7.41946,0.141708,2.09754,9.65871
73,8.38825,0.141209,1.90463,10.4341
74,7.22938,0.150542,1.87958,9.2595
75,8.24413,0.136667,1.94221,10.323
76,7.23904,0.137083,1.93525,9.31137
77,8.37971,0.149292,2.36587,10.8949
78,7.52,0.140375,1.90892,9.56929
79,8.382,0.144375,1.894,10.4204
80,7.33554,0.136708,1.90587,9.37813
81,8.41542,0.16425,1.94192,10.5216
82,7.2545,0.144166,2.14508,9.54375
83,8.36229,0.146875,2.03292,10.5421
84,7.29708,0.152416,2.0115,9.461
85,8.2745,0.136666,1.9415,10.3527
86,7.78279,0.146209,2.02725,9.95625
87,8.57525,0.158167,2.00371,10.7371
