frame,input_ms,ui_ms,draw_ms,total_ms
0,0.011,0.041334,1.07671,1.12904
1,0.007917,0.040041,1.00713,1.05508
2,0.012208,0.036542,0.969375,1.01812
3,0.00725,0.034709,2.70154,2.7435
4,0.013417,0.060916,1.14467,1.219
5,0.00775,0.041583,1.00292,1.05225
6,0.010791,0.0385,1.038,1.08729
7,0.00775,0.039292,1.04592,1.09296
8,0.008875,0.035084,0.916625,0.960584
9,0.006792,0.033833,0.938125,0.97875
10,0.011417,0.041125,1.04342,1.09596
11,0.008041,0.038,1.3355,1.38154
12,0.009709,0.037208,0.963833,1.01075
13,0.007833,0.035042,0.974917,1.01779
14,0.009292,0.035458,0.9945,1.03925
15,0.007041,0.041584,0.973,1.02163
16,0.008875,0.034958,0.963417,1.00725
17,0.008208,0.035292,1.07821,1.12171
18,0.009958,0.051083,1.17512,1.23617
19,0.007292,0.038792,0.948166,0.99425
20,0.009209,0.034333,0.886875,0.930417
21,0.006917,0.037708,0.880375,0.925
22,0.009875,0.033833,0.940834,0.984542
23,0.006833,0.033834,1.03142,1.07208
24,0.009083,0.03575,0.986334,1.03117
25,0.006833,0.033625,1.10217,1.14263
26,0.010791,0.044709,0.956916,1.01242
27,0.006791,0.035084,0.872208,0.914083
28,0.01075,0.03375,0.87675,0.92125
29,0.006917,0.033666,0.865709,0.906292
30,0.00875,0.034,0.870375,0.913125
31,0.006625,0.033666,0.87325,0.913541
32,0.008375,0.035125,0.877542,0.921042
33,0.006709,0.033666,1.02363,1.064
34,0.011042,0.036708,0.936208,0.983958
35,0.008375,0.042,0.952,1.00238
36,0.009375,0.035917,0.884333,0.929625
37,0.006959,0.034083,0.89525,0.936292
38,0.010292,0.037333,0.888917,0.936542
39,0.00675,0.033625,0.858792,0.899167
40,0.008458,0.033458,0.989625,1.03154
41,0.006708,0.035084,0.883583,0.925375
42,0.0085,0.033334,0.86625,0.908084
43,0.00675,0.033208,0.991958,1.03192
44,0.009458,0.041333,0.897875,0.948666
45,0.008208,0.034292,0.865292,0.907792
46,0.008583,0.033292,0.885541,0.927416
47,0.006708,0.037917,0.932792,0.977417
48,0.008833,0.033459,0.873166,0.915458
49,0.006625,0.033625,0.888667,0.928917
50,0.008542,0.033333,0.88875,0.930625
51,0.00675,0.034959,0.867208,0.908917
52,0.011292,0.043625,0.969292,1.02421
53,0.00725,0.038833,0.890625,0.936708
54,0.013917,0.034708,0.873625,0.92225
55,0.00725,0.034292,0.9645,1.00604
56,0.009834,0.035,0.894125,0.938959
57,0.006667,0.033708,0.854917,0.895292
58,0.008917,0.033375,0.900083,0.942375
59,0.00675,0.033292,0.887917,0.927959
60,0.010958,0.033292,0.90775,0.952
61,0.006959,0.042375,0.967875,1.01721
62,0.009625,0.035334,1.01042,1.05537
63,0.006917,0.033875,0.912667,0.953459
64,0.008792,0.033625,0.875542,0.917959
65,0.007,0.034125,0.8625,0.903625
66,0.008667,0.033666,0.906084,0.948417
67,0.009958,0.033459,0.876666,0.920083
68,0.008667,0.033333,0.867292,0.909292
69,0.006625,0.033292,0.96975,1.00967
70,0.00925,0.036625,0.913542,0.959417
71,0.006792,0.034208,0.888,0.929
72,0.0085,0.038459,0.905333,0.952292
73,0.006834,0.033833,0.883583,0.92425
74,0.008583,0.033458,0.889209,0.93125
75,0.006667,0.033125,0.886833,0.926625
76,0.008625,0.033458,0.874167,0.91625
77,0.010542,0.037042,0.969833,1.01742
78,0.008416,0.03775,0.993709,1.03988
79,0.007417,0.042,0.925166,0.974583
80,0.008542,0.034333,0.8845,0.927375
81,0.006708,0.033667,0.894375,0.93475
82,0.0085,0.033458,0.88325,0.925208
83,0.006667,0.033083,0.863167,0.902917
84,0.00825,0.033125,1.01996,1.06133
85,0.006833,0.034042,0.9075,0.948375
86,0.008417,0.033375,0.901208,0.943
87,0.006917,0.035208,0.971917,1.01404
88,0.01725,0.043334,0.954416,1.015
89,0.007,0.03575,0.896042,0.938792
90,0.008792,0.033416,0.876917,0.919125
91,0.00675,0.034333,0.937834,0.978917
92,0.008875,0.034125,0.886375,0.929375
93,0.006833,0.033333,0.913125,0.953291
94,0.008625,0.033375,0.951209,0.993209
95,0.006667,0.033375,0.933167,0.973209
96,0.0115,0.042917,0.922542,0.976959
97,0.006792,0.03475,0.898458,0.94
98,0.008583,0.033833,0.916042,0.958458
99,0.00675,0.033625,0.980292,1.02067
100,0.008417,0.033625,0.907625,0.949667
101,0.006666,0.03325,0.912625,0.952541
102,0.008375,0.033375,0.890833,0.932583
103,0.006708,0.033292,0.880458,0.920458
104,0.008208,0.033083,0.955209,0.9965
105,0.009708,0.037625,0.914792,0.962125
106,0.008958,0.034959,0.961083,1.005
107,0.007,0.034042,0.916833,0.957875
108,0.009125,0.042625,1.01267,1.06442
109,0.007584,0.042,0.966208,1.01579
110,0.009459,0.038458,0.931375,0.979292
111,0.006709,0.033791,0.89725,0.93775
112,0.008875,0.036917,0.972208,1.018
113,0.00825,0.037083,0.996125,1.04146
114,0.008625,0.035542,0.901875,0.946042
115,0.006667,0.036333,0.902917,0.945917
116,0.00875,0.033667,0.888792,0.931209
117,0.00675,0.033208,0.873083,0.913041
118,0.01675,0.033166,0.891042,0.940958
119,0.006625,0.038208,0.880333,0.925166
