frame,input_simulation_ms,ui_ms,world_ms,screen_ms,display_ms,total_ms
0,1.43263,0.522208,1.3645,0.38375,0.000334,3.70342
1,1.31958,0.49675,1.36346,0.547417,0.000375,3.72758
2,1.44183,0.521917,1.17362,0.367916,0.000292,3.50558
3,1.33629,0.491375,1.17413,0.379375,0.0005,3.38167
4,1.33729,0.490416,1.22663,0.429625,0.000292,3.48425
5,1.34571,0.507791,1.16804,0.365083,0.00025,3.38687
6,1.30771,0.500125,1.23225,0.359458,0.00025,3.39979
7,1.50171,0.5055,1.16279,0.4705,4.2e-05,3.64054
8,1.31383,0.505167,1.18562,0.367958,0.000625,3.37321
9,1.31163,0.516833,1.272,0.38225,0.000333,3.48304
10,1.37283,0.510834,1.42767,0.360834,0.00025,3.67242
11,1.33533,0.499,1.18013,0.453084,0.000291,3.46783
12,1.33954,0.504458,1.16867,0.366042,0.000333,3.37904
13,1.34396,0.488791,1.19246,0.514875,0.000125,3.54021
14,1.45825,0.51125,1.17512,0.372292,0.000583,3.5175
15,1.35967,0.497,1.16938,0.359,0.000334,3.38537
16,1.35858,0.507292,1.26392,0.401334,0.00025,3.53138
17,1.39554,0.503167,1.16717,0.367917,0.000208,3.434
18,1.39463,0.511166,1.15538,0.3555,0.000334,3.417
19,1.48396,0.509333,1.17887,0.473125,0.000167,3.64546
20,1.34283,0.500125,1.1975,0.413875,0.000833,3.45517
21,1.34333,0.547,1.31296,0.429958,0.0005,3.63375
22,1.35679,0.506167,1.16254,0.360375,0.000167,3.38604
23,1.31858,0.49075,1.19308,0.427208,0.002,3.43162
24,1.37596,0.502208,1.15804,0.358083,0.000334,3.39463
25,1.35363,0.488791,1.19571,0.527333,0.000208,3.56567
26,1.51708,0.521709,1.17942,0.374,0.0005,3.59271
27,1.42979,0.493375,1.17633,0.374,0.000208,3.47371
28,1.35654,0.488541,1.28825,0.39775,0.000167,3.53125
29,1.38521,0.509041,1.16567,0.362792,0.000333,3.42304
30,1.375,0.492958,1.42571,0.406,0.000333,3.7
31,1.41712,0.520791,1.16413,0.450709,4.1e-05,3.55279
32,1.36433,0.495625,1.19096,0.3645,0.000166,3.41558
33,1.47058,0.577584,1.19071,0.367417,0.00025,3.60654
34,1.35763,0.486459,1.16529,0.373667,0.00025,3.38329
35,1.41637,0.491209,1.3205,0.390083,0.000333,3.6185
36,1.44037,0.554667,1.24371,0.370875,0,3.60962
37,1.46204,0.521834,1.23879,0.521334,0.000125,3.74412
38,1.54704,0.5535,1.23487,0.399875,0.000292,3.73558
39,1.49204,0.544792,1.228,0.387375,0.000333,3.65254
40,1.55592,0.565334,1.27038,0.387916,0.000209,3.77975
41,1.49004,0.528625,1.32225,0.438125,0.000334,3.77937
42,1.45887,0.606,1.33442,0.393709,0.000208,3.79321
43,1.46096,0.528458,1.25287,0.619875,0,3.86217
44,1.52742,0.541834,1.35892,0.399084,0.000166,3.82742
45,1.48933,0.535166,1.24038,0.38375,0.000209,3.64883
46,1.44946,0.6045,1.2585,0.434083,0.000125,3.74667
47,1.4535,0.537167,1.224,0.379833,0.00075,3.59525
48,1.50454,0.534416,1.23675,0.378834,0.003083,3.65762
49,1.58079,0.51825,1.22925,0.490709,0.000166,3.81917
50,1.48758,0.537,1.60579,0.400375,8.4e-05,4.03083
51,1.58708,0.56025,1.23067,0.372625,8.4e-05,3.75071
52,1.38875,0.4965,1.24754,0.3645,0.002166,3.49946
53,1.39475,0.52025,1.29975,0.397625,4.1e-05,3.61242
54,1.39617,0.505791,1.17863,0.364459,0.000333,3.44537
55,1.39008,0.492917,1.16546,0.529583,0.000334,3.57837
56,1.47487,0.519042,1.28087,0.378,0.000125,3.65292
57,1.40512,0.51725,1.17708,0.364583,4.2e-05,3.46408
58,1.57088,0.518792,1.17925,0.36875,0.000333,3.638
59,1.38654,0.483625,1.18383,0.365208,0.000417,3.41962
60,1.39367,0.497333,1.26975,0.379833,0.000167,3.54075
61,1.41987,0.501875,1.16379,0.45025,8.3e-05,3.53587
62,1.42771,0.501167,1.18021,0.415709,0.000375,3.52517
63,1.58933,0.531375,1.18621,0.363584,0.00025,3.67075
64,1.45775,0.507625,1.15983,0.359167,0.000333,3.48471
65,1.592,0.521334,1.18013,0.369541,0.000375,3.66337
66,1.41933,0.485584,1.18542,0.3815,0.00025,3.47208
67,1.43975,0.493542,1.29725,0.454417,8.3e-05,3.68504
68,1.42508,0.505125,1.16762,0.3615,0.000167,3.4595
69,1.42954,0.504875,1.17217,0.383458,0.000125,3.49017
70,1.53388,0.509667,1.43529,0.363334,4.1e-05,3.84221
71,1.44425,0.488917,1.17063,0.359125,0.000333,3.46325
72,1.53629,0.525417,1.17813,0.373041,8.4e-05,3.61296
73,1.44417,0.483583,1.1755,0.4995,4.2e-05,3.60279
74,1.43229,0.510959,1.31979,0.389417,0.000125,3.65258
75,1.45504,0.510333,1.18146,0.362625,4.2e-05,3.5095
76,1.44508,0.494208,1.17575,0.418458,0.000292,3.53379
77,1.50362,0.515959,1.18121,0.364667,8.3e-05,3.56554
78,1.42362,0.504208,1.20829,0.366167,0.000291,3.50258
79,1.66992,0.51325,1.17367,0.472125,8.3e-05,3.82904
80,1.43583,0.499959,1.16787,0.364875,0.000125,3.46867
81,1.46379,0.517542,1.31579,0.393916,0.000292,3.69133
82,1.55729,0.507417,1.16633,0.359833,0.000334,3.59121
83,1.48146,0.506166,1.20371,0.404458,8.3e-05,3.59587
84,1.43929,0.504625,1.17171,0.382709,0.000625,3.49896
85,1.61237,0.5215,1.17279,0.471958,0.000334,3.77896
86,1.65417,0.544417,1.23908,0.409958,0.000125,3.84775
87,1.47592,0.500583,1.20525,0.369125,0.002125,3.553
88,1.50208,0.544666,1.18767,0.371167,0.002875,3.60846
89,1.458,0.491708,1.1575,0.377958,0.000959,3.48612
90,1.44675,0.485542,1.59587,0.382583,4.2e-05,3.91079
91,1.48708,0.506833,1.16221,0.451834,0.000125,3.60808
92,1.50296,0.50175,1.19967,0.434792,0.000125,3.63929
93,1.52979,0.512292,1.155,0.362792,0.000208,3.56008
94,1.45525,0.5015,1.17704,0.355416,0.00025,3.48946
95,1.56033,0.501417,1.18338,0.361625,0.000333,3.60708
96,1.44571,0.481834,1.16829,0.441625,0.000334,3.53779
97,1.49304,0.492709,1.33942,0.48825,0.000167,3.81358
98,1.51313,0.510542,1.17308,0.363125,8.3e-05,3.55996
99,1.52967,0.494583,1.19037,0.394417,8.3e-05,3.60913
100,1.56683,0.505208,1.17246,0.362417,0.000417,3.60733
101,1.49508,0.486875,1.18921,0.383209,0.00025,3.55463
102,1.62829,0.507125,1.18712,0.366667,0.00025,3.68946
103,1.48421,0.483292,1.21925,0.484458,8.4e-05,3.67129
104,1.51371,0.544833,1.20938,0.378959,0,3.64688
105,1.54171,0.5015,1.16987,0.3625,0.000208,3.57579
106,1.4575,0.488583,1.23275,0.385583,8.4e-05,3.5645
107,1.61725,0.515709,1.16725,0.360416,0.000375,3.661
108,1.50758,0.505834,1.16475,0.36175,0.000208,3.54013
109,1.68917,0.508875,1.16708,0.472625,0.000167,3.83792
110,1.49108,0.494416,1.44613,0.367334,8.3e-05,3.79904
111,1.60529,0.5235,1.22221,0.386875,0,3.73787
112,1.59746,0.493666,1.1965,0.383125,0,3.67075
113,1.48471,0.513875,1.29904,0.393791,8.4e-05,3.6915
114,1.48579,0.502,1.14033,0.36575,0.000125,3.494
115,1.48692,0.491084,1.18879,0.494375,0.00075,3.66192
116,1.58587,0.533333,1.18413,0.365708,0.000125,3.66917
117,1.54588,0.509583,1.17738,0.357875,4.2e-05,3.59075
118,1.65562,0.496417,1.20296,0.357375,8.4e-05,3.71246
119,1.52821,0.482084,1.18783,0.362875,0.000375,3.56137
