frame,simulation_ms,ui_ms,render_ms,total_ms
0,12.2725,0.163584,3.06838,15.5045
1,13.781,0.165875,2.29246,16.2394
2,12.0412,0.176125,2.32071,14.538
3,13.9246,0.181833,2.55037,16.6568
4,12.4811,0.170709,2.54654,15.1984
5,13.3957,0.184083,2.29367,15.8734
6,11.8065,0.169709,2.17858,14.1548
7,13.5505,0.166833,2.68254,16.3998
8,12.1178,0.171916,2.3385,14.6282
9,13.3983,0.170375,2.10579,15.6744
10,12.0883,0.200625,2.55425,14.8431
11,13.0748,0.226459,2.4215,15.7227
12,11.9857,0.165667,2.31083,14.4622
13,13.166,0.162083,2.24375,15.5718
14,12.3113,0.161667,3.168,15.641
15,13.4175,0.162542,2.11025,15.6903
16,12.1062,0.169209,2.17083,14.4462
17,12.9455,0.194917,2.46417,15.6046
18,11.7543,0.17375,2.25296,14.181
19,13.9922,0.163875,2.27542,16.4315
20,12.1896,0.164,2.416,14.7696
21,13.3016,0.16775,2.10371,15.5731
22,11.8158,0.179041,2.41133,14.4062
23,13.4479,0.171958,2.84733,16.4672
24,12.2844,0.161541,2.70854,15.1545
25,13.002,0.188625,2.38013,15.5708
26,12.095,0.164042,2.12142,14.3804
27,13.6702,0.164417,2.57246,16.407
28,12.2895,0.162958,2.14508,14.5976
29,12.9339,0.190083,2.48596,15.6099
30,11.993,0.165666,2.56696,14.7256
31,13.1506,0.171166,2.38912,15.7109
32,12.0813,0.16775,2.12213,14.3711
33,13.2391,0.16425,2.12596,15.5293
34,11.6354,0.172667,2.37913,14.1872
35,13.9298,0.175042,2.75687,16.8617
36,12.0125,0.166958,2.55463,14.734
37,13.644,0.1925,2.37392,16.2104
38,11.7462,0.165,2.04579,13.957
39,13.1434,0.162167,2.12167,15.4272
40,11.4241,0.159875,2.23629,13.8203
41,12.7993,0.177625,2.23383,15.2108
42,11.8127,0.162291,2.17175,14.1467
43,13.29,0.158958,2.89496,16.3439
44,12.0168,0.159625,2.16408,14.3405
45,12.8127,0.161042,2.32112,15.2949
46,12.0972,0.200708,2.60183,14.8997
47,12.8823,0.159,2.15762,15.1989
48,12.2926,0.163583,2.65279,15.109
49,13.3303,0.16325,2.13171,15.6253
50,11.5214,0.162125,2.69221,14.3757
51,13.1297,0.161875,2.64771,15.9392
52,11.6806,0.166875,2.15804,14.0055
53,12.9005,0.165208,2.11625,15.182
54,11.6644,0.1665,2.40883,14.2397
55,13.3067,0.202625,2.42821,15.9375
56,13.0682,0.163125,2.3495,15.5808
57,13.2965,0.1645,2.14971,15.6107
58,11.6499,0.159542,2.11675,13.9262
59,13.2082,0.165833,2.16021,15.5343
60,11.6691,0.1855,2.52467,14.3793
61,12.8598,0.162625,2.23387,15.2563
62,11.7829,0.1575,2.19488,14.1353
63,12.846,0.161375,2.10854,15.1159
64,12.1595,0.197917,2.39829,14.7558
65,14.1074,0.17325,2.88608,17.1667
66,12.5478,0.189083,2.63392,15.3708
67,13.4588,0.162459,2.50413,16.1253
68,11.6343,0.161708,2.2015,13.9975
69,13.0422,0.162792,2.14842,15.3535
70,11.9335,0.16275,2.51775,14.614
71,13.2718,0.163709,2.70946,16.1449
72,12.223,0.16225,2.39333,14.7786
73,13.0937,0.167666,2.73404,15.9954
74,11.7949,0.166584,2.71642,14.6779
75,13.2001,0.162875,2.64921,16.0122
76,11.8033,0.168042,2.11425,14.0856
77,12.6075,0.188,2.41438,15.2099
78,12.0278,0.168541,2.75742,14.9537
79,12.705,0.188083,2.30713,15.2002
80,12.0342,0.16075,2.53221,14.7271
81,13.2089,0.167167,2.12658,15.5027
82,11.472,0.18125,2.35021,14.0034
83,12.8825,0.179,2.78758,15.8491
84,12.3983,0.169667,2.69883,15.2668
85,13.1232,0.160333,2.806,16.0895
86,12.2666,0.168459,2.55133,14.9864
87,12.755,0.16975,2.1285,15.0533
88,11.3625,0.170834,2.37758,13.9109
89,12.9238,0.177166,2.18917,15.2901
90,12.404,0.164291,2.65642,15.2247
91,13.8026,0.161542,2.78,16.7441
92,11.9565,0.17225,2.12712,14.2558
93,12.653,0.1635,2.14317,14.9597
94,11.4899,0.157917,2.24967,13.8975
95,12.8446,0.162334,2.30296,15.3099
96,12.106,0.219916,2.13967,14.4656
97,12.8442,0.164125,2.09992,15.1082
98,11.3819,0.159,2.19338,13.7343
99,12.4696,0.160917,2.1825,14.813
100,12.0735,0.167833,2.62154,14.8629
101,12.8478,0.187292,2.15713,15.1922
102,11.6543,0.165541,2.55604,14.3759
103,13.0206,0.162458,2.65462,15.8377
104,11.6229,0.156625,2.13992,13.9195
105,13.0145,0.15975,2.52408,15.6983
106,11.899,0.176792,2.29979,14.3756
107,12.4798,0.172083,2.27404,14.9259
108,12.4165,0.194458,2.70162,15.3126
109,13.1035,0.16125,2.63883,15.9036
110,11.9131,0.168791,2.45321,14.5351
111,12.8416,0.164167,2.23292,15.2387
112,11.5512,0.168625,2.28437,14.0042
113,12.8023,0.174667,2.74942,15.7263
114,11.4871,0.170542,2.11563,13.7733
115,13.1425,0.168458,2.58725,15.8982
116,11.6594,0.183875,2.18779,14.0311
117,12.523,0.238291,2.30079,15.062
118,12.6538,0.185916,2.69212,15.5319
119,14.2325,0.176958,2.54612,16.9556
120,13.2639,0.1725,2.60725,16.0436
121,13.4575,0.16475,2.23671,15.859
122,12.5761,0.166375,2.22133,14.9638
123,14.5926,0.166459,2.83717,17.5962
124,12.9332,0.172916,2.777,15.8831
