frame,simulation_ms,ui_ms,render_ms,total_ms
0,7.2105,0.138,2.21696,9.56546
1,8.7125,0.13425,5.16333,14.0101
2,7.59792,0.142584,2.20992,9.95042
3,8.54158,0.156667,2.19304,10.8913
4,7.35592,0.135375,2.27425,9.76554
5,8.73563,0.136416,2.73088,11.6029
6,7.44608,0.14475,2.15362,9.74446
7,8.50388,0.147875,2.32313,10.9749
8,7.34104,0.15125,2.1905,9.68279
9,8.57021,0.159333,2.22792,10.9575
10,7.74733,0.135916,2.37583,10.2591
11,8.45708,0.135917,2.07987,10.6729
12,7.28354,0.135417,2.22917,9.64813
13,8.53308,0.13525,2.55742,11.2257
14,7.38167,0.15275,1.96792,9.50233
15,8.48837,0.137334,1.91154,10.5373
16,7.23379,0.134083,2.00879,9.37667
17,8.46187,0.14275,2.01229,10.6169
18,7.25292,0.135958,2.19567,9.58454
19,8.50817,0.143375,2.09788,10.7494
20,7.3485,0.138625,1.92183,9.40896
21,8.5735,0.131208,2.28542,10.9901
22,7.38467,0.137417,2.07792,9.6
23,8.52213,0.141666,1.90896,10.5727
24,7.21587,0.132667,2.03942,9.38796
25,8.54808,0.142542,2.01671,10.7073
26,7.28804,0.1425,2.00413,9.43467
27,8.43708,0.148417,2.15883,10.7443
28,7.18979,0.134542,1.90621,9.23054
29,8.47687,0.129833,1.8845,10.4912
30,7.32038,0.141458,2.37546,9.83729
31,8.34429,0.146584,2.03963,10.5305
32,7.72658,0.145625,2.13254,10.0047
33,8.37367,0.13925,1.88975,10.4027
34,7.1805,0.170833,1.9305,9.28183
35,8.42117,0.153334,1.97237,10.5469
36,7.28579,0.17925,2.2035,9.66854
37,8.637,0.153334,2.19954,10.9899
38,7.28483,0.146166,1.92708,9.35808
39,8.37087,0.141292,1.89383,10.406
40,7.15279,0.138584,1.916,9.20738
41,8.34446,0.158041,2.00433,10.5068
42,7.05317,0.135167,2.20775,9.39608
43,8.38987,0.1495,1.97317,10.5125
44,7.14863,0.139875,1.90437,9.19288
45,8.542,0.137208,2.25862,10.9378
46,7.38162,0.146708,1.98196,9.51029
47,8.44388,0.209459,1.95258,10.6059
48,7.30054,0.139334,2.101,9.54087
49,8.46125,0.1365,1.90633,10.5041
50,7.19025,0.139959,2.29188,9.62208
51,8.84871,0.153416,2.17358,11.1757
52,7.42642,0.142,2.16237,9.73079
53,8.449,0.139041,2.03108,10.6191
54,7.17479,0.148291,1.92483,9.24792
55,8.54471,0.149791,1.9915,10.686
56,7.22938,0.140417,2.06962,9.43942
57,8.35296,0.140083,1.91371,10.4068
58,7.08929,0.142417,1.90312,9.13483
59,8.24812,0.140458,2.12862,10.5172
60,7.22317,0.139333,1.97,9.3325
61,8.29892,0.144875,2.066,10.5098
62,7.1265,0.183917,1.96921,9.27962
63,8.44175,0.149125,1.93633,10.5272
64,7.16937,0.183834,1.98017,9.33338
65,8.28063,0.150417,2.28958,10.7206
66,7.64775,0.15875,2.02671,9.83321
67,8.16117,0.182417,1.99008,10.3337
68,7.30575,0.144667,2.15967,9.61008
69,8.20533,0.140625,1.88783,10.2338
70,7.00683,0.145125,2.2895,9.44146
71,8.086,0.146875,2.22225,10.4551
72,7.23642,0.185167,2.09617,9.51775
73,8.12525,0.147209,1.92088,10.1933
74,7.00517,0.136625,1.90371,9.0455
75,8.04921,0.141625,1.90933,10.1002
76,7.11367,0.136042,1.98021,9.22992
77,8.27579,0.145958,2.18083,10.6026
78,7.00213,0.208917,2.02125,9.23229
79,8.13237,0.169417,1.86504,10.1668
80,7.06521,0.14675,1.90338,9.11533
81,8.17479,0.149042,1.98821,10.312
