frame,input_simulation_ms,ui_ms,world_ms,screen_ms,display_ms,total_ms
0,1.26313,0.508292,1.47562,0.376583,0.000333,3.62396
1,1.25171,0.51875,1.33688,0.4445,0.000292,3.55213
2,1.20913,0.518541,1.1735,0.352834,4.1e-05,3.25404
3,1.36308,0.529833,1.14158,0.356209,4.1e-05,3.39075
4,1.18129,0.499791,1.11229,0.364792,0.000333,3.1585
5,1.24504,0.502625,1.27117,0.41925,4.2e-05,3.43812
6,1.23108,0.513583,1.16883,0.351709,0.000125,3.26533
7,1.17296,0.51525,1.14454,0.462,8.4e-05,3.29483
8,1.387,0.520167,1.19383,0.36325,0.000125,3.46437
9,1.22508,0.500166,1.121,0.350375,0.000167,3.19679
10,1.23558,0.531,1.56062,0.374542,0.000125,3.70187
11,1.24525,0.51775,1.13054,0.352792,0.000333,3.24667
12,1.20671,0.497708,1.17921,0.358458,0.000208,3.24229
13,1.37767,0.525375,1.15067,0.521292,4.1e-05,3.57504
14,1.23908,0.498791,1.12817,0.359125,0,3.22517
15,1.20663,0.508375,1.21592,0.383959,4.1e-05,3.31492
16,1.26858,0.541958,1.13213,0.349333,0.000125,3.29212
17,1.20175,0.499958,1.15492,0.352125,8.3e-05,3.20883
18,1.44296,0.529959,1.12958,0.359,0,3.4615
19,1.22346,0.494125,1.13125,0.558167,0.000208,3.40721
20,1.23075,0.522458,1.28896,0.37575,0.000125,3.41804
21,1.21296,0.525833,1.12771,0.3475,0.000209,3.21421
22,1.24517,0.563167,1.12917,0.346208,0.00025,3.28396
23,1.38013,0.519458,1.16933,0.372375,0.000125,3.44142
24,1.23321,0.488583,1.17908,0.376917,0,3.27779
25,1.25908,0.512584,1.32308,0.508542,8.3e-05,3.60338
26,1.23858,0.525625,1.13879,0.352667,0.0005,3.25617
27,1.27025,0.49825,1.11771,0.378958,0.000125,3.26529
28,1.32533,0.505333,1.13658,0.359459,0.000208,3.32692
29,1.22842,0.487583,1.14917,0.374208,0.000375,3.23975
30,1.29479,0.549959,1.56933,0.399042,0.000166,3.81329
31,1.25904,0.511334,1.15446,0.436917,0.00025,3.362
32,1.28367,0.533334,1.17946,0.409333,0.000125,3.40592
33,1.29879,0.518875,1.168,0.36525,0.0005,3.35142
34,1.22271,0.488417,1.23033,0.359833,0.000167,3.30146
35,1.29179,0.561584,1.19446,0.36875,0.000292,3.41688
36,1.23946,0.498,1.14325,0.350208,0.000167,3.23108
37,1.33329,0.494458,1.17717,0.460875,0.000875,3.46667
38,1.31062,0.527334,1.17837,0.350958,0.000583,3.36788
39,1.24042,0.501125,1.18254,0.357916,0.000125,3.28213
40,1.35483,0.544584,1.16021,0.361625,0.00025,3.4215
41,1.26425,0.492958,1.15058,0.34425,0.000125,3.25217
42,1.26796,0.544625,1.21079,0.369292,0.000125,3.39279
43,1.37967,0.507791,1.1715,0.49925,0.000167,3.55837
44,1.26162,0.495625,1.13858,0.352667,0.000292,3.24879
45,1.40504,0.525125,1.20721,0.383542,0.00025,3.52117
46,1.291,0.558875,1.20929,0.362417,0.000208,3.42179
47,1.25642,0.50725,1.30088,0.367625,0.000417,3.43258
48,1.25533,0.510375,1.15488,0.354417,0.000125,3.27513
49,1.26292,0.495583,1.1525,0.430542,4.1e-05,3.34158
50,1.44733,0.525792,1.46313,0.360333,0.000334,3.79692
51,1.26162,0.503458,1.23192,0.354542,8.3e-05,3.35162
52,1.29121,0.539667,1.25833,0.3845,0.000334,3.47404
53,1.35408,0.522125,1.23733,0.370042,0.00025,3.48383
54,1.38421,0.540166,1.24746,0.3995,0.00025,3.57158
55,1.50588,0.531375,1.25892,0.471375,4.2e-05,3.76758
56,1.36992,0.529958,1.35213,0.39925,0.000125,3.65137
57,1.51054,0.532625,1.208,0.391208,0.00025,3.64262
58,1.45671,0.52675,1.34092,0.398084,0.000333,3.72279
59,1.37517,0.619083,1.31379,0.388542,0.000333,3.69692
60,1.42567,0.51625,1.24492,0.402167,4.2e-05,3.58904
61,1.5225,0.521167,1.32917,0.482125,0.000209,3.85517
62,1.37808,0.549167,1.20321,0.386584,8.3e-05,3.51713
63,1.4265,0.530083,1.29983,0.3975,0.0005,3.65442
64,1.42942,0.53825,1.19663,0.377875,8.3e-05,3.54225
65,1.34529,0.534667,1.20775,0.42875,0.000208,3.51667
66,1.45767,0.547291,1.26083,0.375833,0.000375,3.642
67,1.37021,0.519,1.17846,0.513625,0.000208,3.5815
68,1.45825,0.536667,1.31175,0.380958,0.000292,3.68792
69,1.30137,0.515459,1.13733,0.350375,0.000167,3.30471
70,1.27071,0.498209,1.40767,0.386709,8.3e-05,3.56338
71,1.42192,0.517875,1.15663,0.374042,8.3e-05,3.47054
72,1.26958,0.486959,1.14904,0.369709,0.001,3.27629
73,1.32579,0.563167,1.21404,0.482541,0.000125,3.58567
74,1.29733,0.509333,1.18225,0.349667,0.000125,3.33871
75,1.31996,0.516791,1.22604,0.389167,8.3e-05,3.45204
76,1.30942,0.504875,1.18321,0.350667,8.3e-05,3.34825
77,1.29942,0.48575,1.1565,0.370834,0.000166,3.31267
78,1.41437,0.55175,1.20917,0.3645,0.000167,3.53996
79,1.32787,0.498583,1.12492,0.449083,8.3e-05,3.40054
80,1.3305,0.505916,1.26529,0.421917,4.1e-05,3.52367
81,1.34433,0.510375,1.16162,0.349625,0.000125,3.36608
82,1.30754,0.510625,1.17092,0.356958,0.000167,3.34621
83,1.52229,0.512875,1.14917,0.360458,0.000167,3.54496
84,1.30642,0.487667,1.11925,0.344791,4.2e-05,3.25817
85,1.36875,0.504459,1.29675,0.469208,4.2e-05,3.63921
86,1.31404,0.524291,1.14608,0.353458,0.000333,3.33821
87,1.33546,0.5125,1.16142,0.379708,0.000417,3.3895
88,1.42104,0.511792,1.16912,0.358125,0.000625,3.46071
89,1.317,0.485958,1.12225,0.3565,0.000125,3.28183
90,1.31779,0.55,1.57154,0.368875,4.1e-05,3.80825
91,1.33092,0.504917,1.15821,0.451917,0.000167,3.44612
92,1.31792,0.500625,1.28167,0.41925,0.000375,3.51983
93,1.39004,0.516167,1.16446,0.356,0.000167,3.42683
94,1.306,0.557959,1.13329,0.353084,0,3.35033
95,1.52429,0.508625,1.14458,0.364417,0.000167,3.54208
96,1.32167,0.489042,1.12117,0.347541,0.000167,3.27958
97,1.36883,0.499667,1.28396,0.478042,4.2e-05,3.63054
98,1.34954,0.532167,1.17496,0.354042,8.3e-05,3.41079
99,1.34758,0.497375,1.191,0.367708,0.000209,3.40388
100,1.45429,0.4995,1.13975,0.366209,0.000125,3.45987
101,1.36154,0.485041,1.12433,0.359583,0.000917,3.33142
102,1.41333,0.549458,1.2805,0.379959,4.1e-05,3.62329
103,1.38992,0.508916,1.13317,0.442042,4.1e-05,3.47408
104,1.43154,0.539375,1.21071,0.428625,8.4e-05,3.61033
105,1.38729,0.508625,1.14779,0.350166,0.00025,3.39412
106,1.33417,0.486333,1.17946,0.356084,0,3.35604
107,1.48737,0.509542,1.17063,0.360792,0,3.52833
108,1.33896,0.488292,1.15517,0.349625,8.4e-05,3.33213
109,1.37338,0.490667,1.29987,0.455042,4.1e-05,3.619
110,1.41704,0.522541,1.42463,0.357625,8.4e-05,3.72192
111,1.3865,0.499041,1.16483,0.397833,8.3e-05,3.44829
112,1.40667,0.499583,1.17504,0.360541,0.000125,3.44196
113,1.35946,0.48375,1.19471,0.369834,4.1e-05,3.40779
114,1.37987,0.533791,1.30096,0.36575,0.000125,3.5805
115,1.37596,0.500292,1.12792,0.441917,8.3e-05,3.44617
116,1.45104,0.501209,1.24929,0.3885,0.000167,3.59021
117,1.45246,0.514084,1.17621,0.354708,4.2e-05,3.4975
118,1.37325,0.489125,1.20629,0.354125,0.000209,3.423
119,1.55154,0.51225,1.17479,0.366084,4.1e-05,3.60471
