frame,input_ms,ui_ms,draw_ms,total_ms
0,0.014625,0.059125,9.0955,9.16925
1,0.011667,0.066708,9.41471,9.49308
2,0.015125,0.062625,9.26713,9.34488
3,0.011583,0.0715,20.2729,20.356
4,0.017,0.074917,8.65058,8.7425
5,0.013292,0.086167,8.65567,8.75512
6,0.01425,0.063208,8.73175,8.80921
7,0.009875,0.059834,8.36967,8.43938
8,0.013875,0.059083,8.61996,8.69292
9,0.012208,0.062333,8.46625,8.54079
10,0.012792,0.054291,9.13925,9.20633
11,0.011,0.064292,9.07083,9.14612
12,0.013584,0.061791,8.39683,8.47221
13,0.011083,0.065917,8.29688,8.37387
14,0.015583,0.064625,8.87071,8.95092
15,0.009916,0.055917,8.67908,8.74492
16,0.012584,0.061333,9.102,9.17592
17,0.009959,0.058333,8.34029,8.40858
18,0.01225,0.053209,8.2295,8.29496
19,0.00975,0.058625,7.70696,7.77533
20,0.011959,0.051458,7.52292,7.58633
21,0.00975,0.057708,8.07696,8.14442
22,0.013417,0.063375,7.80508,7.88187
23,0.009708,0.055792,7.50029,7.56579
24,0.010625,0.052125,7.37867,7.44142
25,0.009166,0.052709,8.12946,8.19133
26,0.012292,0.050958,7.65258,7.71583
27,0.009208,0.050875,7.44208,7.50217
28,0.01075,0.050334,7.81992,7.881
29,0.008625,0.049084,7.96075,8.01846
30,0.012083,0.051375,7.33788,7.40133
31,0.008542,0.047,8.03921,8.09475
32,0.011209,0.049416,8.21358,8.27421
33,0.009417,0.051958,7.55833,7.61971
34,0.011875,0.05025,8.20888,8.271
35,0.008625,0.0555,7.85692,7.92104
36,0.011375,0.050542,8.23158,8.2935
37,0.009292,0.0555,7.31567,7.38046
38,0.018958,0.049167,7.95871,8.02683
39,0.0095,0.070625,7.31779,7.39792
40,0.010875,0.049375,7.67408,7.73433
41,0.009542,0.05,7.95092,8.01046
42,0.01225,0.053792,7.4385,7.50454
43,0.008875,0.049833,7.88042,7.93912
44,0.011125,0.050458,7.28554,7.34713
45,0.011417,0.046417,7.28533,7.34317
46,0.010625,0.047959,8.22225,8.28083
47,0.008917,0.050333,8.06746,8.12671
48,0.0125,0.050916,7.57675,7.64017
49,0.008875,0.04925,7.47458,7.53271
50,0.011417,0.048916,8.02646,8.08679
51,0.008916,0.049334,7.27279,7.33104
52,0.010916,0.04625,7.26021,7.31738
53,0.008375,0.047375,7.99113,8.04688
54,0.011125,0.058833,8.38783,8.45779
55,0.009708,0.050167,7.39529,7.45517
56,0.018125,0.086042,7.81187,7.91604
57,0.009125,0.052083,7.90317,7.96438
58,0.011625,0.049667,7.70792,7.76921
59,0.0095,0.057667,8.03058,8.09775
60,0.011709,0.056291,8.02254,8.09054
61,0.009208,0.0495,8.19725,8.25596
62,0.013167,0.0555,7.85242,7.92108
63,0.009083,0.048875,7.39487,7.45283
64,0.011541,0.050667,7.94137,8.00358
65,0.008583,0.048333,7.29329,7.35021
66,0.010334,0.045625,7.59525,7.65121
67,0.00875,0.055334,7.94879,8.01287
68,0.011792,0.056417,7.56204,7.63025
69,0.0085,0.048375,7.45792,7.51479
70,0.01425,0.047375,7.84846,7.91008
71,0.009334,0.052125,8.26562,8.32708
72,0.011042,0.05775,7.47296,7.54175
73,0.008958,0.04775,7.84429,7.901
74,0.013458,0.058417,8.00621,8.07808
75,0.009417,0.053542,8.10983,8.17279
76,0.012,0.050959,8.00775,8.07071
77,0.0095,0.059209,7.58113,7.64983
78,0.011083,0.049959,7.35583,7.41688
79,0.00875,0.049,7.88271,7.94046
80,0.01125,0.049333,7.95758,8.01817
81,0.009417,0.050541,8.03708,8.09704
82,0.010625,0.049958,8.06788,8.12846
83,0.009125,0.050417,7.49758,7.55713
84,0.010459,0.045791,8.04317,8.09942
85,0.008625,0.0485,7.41633,7.47346
86,0.010667,0.047,7.70237,7.76004
87,0.009,0.048041,7.33975,7.39679
88,0.014834,0.059208,7.98496,8.059
89,0.010917,0.056708,7.95929,8.02692
90,0.011792,0.053875,8.17238,8.23804
91,0.011792,0.061083,7.59979,7.67267
92,0.011167,0.049708,7.37692,7.43779
93,0.008834,0.047625,7.28442,7.34087
94,0.0145,0.063958,7.39358,7.47204
95,0.008833,0.047583,7.3515,7.40792
96,0.010333,0.045792,8.14921,8.20533
97,0.010958,0.051542,8.03254,8.09504
98,0.010834,0.049541,7.47154,7.53192
99,0.008708,0.04825,7.52417,7.58113
100,0.015125,0.049333,7.92342,7.98787
101,0.008875,0.052208,7.43771,7.49879
102,0.012459,0.050125,7.25863,7.32121
103,0.007542,0.045458,7.379,7.432
104,0.011459,0.05125,7.60925,7.67196
105,0.009125,0.053458,7.85321,7.91579
106,0.011583,0.049209,7.94683,8.00763
107,0.012083,0.067459,7.86896,7.9485
108,0.011292,0.04875,7.31937,7.37942
109,0.008667,0.047042,7.73058,7.78629
110,0.010917,0.048291,8.018,8.07721
111,0.00925,0.050125,8.19079,8.25017
112,0.01125,0.048834,7.91225,7.97233
113,0.0095,0.05,7.78062,7.84012
114,0.010459,0.053875,7.34812,7.41246
115,0.008208,0.045167,7.92808,7.98146
116,0.011459,0.055416,7.96642,8.03329
117,0.009,0.059125,7.41121,7.47933
118,0.014541,0.051917,7.87958,7.94604
119,0.009708,0.05575,7.92625,7.99171
