frame,input_simulation_ms,ui_ms,world_ms,screen_ms,display_ms,total_ms
0,0,0.10125,1.51704,0.488,0.00025,2.10654
1,0,0.094167,1.34358,0.433792,0.000167,1.87171
2,0,0.0915,1.35383,4.04996,0.000375,5.49567
3,4.2e-05,0.132958,1.44621,0.4105,0.000375,1.99008
4,4.2e-05,0.093,1.55038,0.399667,0.000291,2.04338
5,0,0.101084,1.47404,0.42175,0.000334,1.99721
6,8.3e-05,0.098917,1.3405,0.408125,0.000375,1.848
7,4.2e-05,0.086166,1.33883,0.418833,0.000167,1.84404
8,4.2e-05,0.094125,1.87363,2.28271,0.001125,4.25162
9,0,0.184375,2.01821,0.429375,0.000625,2.63258
10,8.4e-05,0.111208,1.43704,0.389875,0.00025,1.93846
11,4.2e-05,0.094583,1.4135,0.435917,0.000292,1.94433
12,4.2e-05,0.118125,1.39817,0.391541,0.000292,1.90817
13,4.2e-05,0.093875,1.30046,0.373708,0.00025,1.76833
14,4.1e-05,0.08725,1.309,0.526334,8.3e-05,1.92271
15,0,0.094917,1.56579,0.415125,0.000209,2.07604
16,4.2e-05,0.091583,1.50742,0.411333,0.000292,2.01067
17,4.2e-05,0.103417,1.54337,0.399666,0.00025,2.04675
18,0.000125,0.093125,1.43142,0.379416,0.000167,1.90425
19,0,0.088666,1.33787,0.414542,0.000292,1.84137
20,0.000208,0.110667,1.24146,0.509167,0.00025,1.86175
21,0.000125,0.111916,1.23804,0.401208,0.000375,1.75167
22,0.000125,0.099417,1.16204,0.359542,0.000375,1.6215
23,0,0.089,1.11058,0.360292,0.000166,1.56004
24,0,0.084083,1.16742,0.412958,0.000209,1.66467
25,0,0.086667,1.13179,0.383,0.000375,1.60183
26,8.3e-05,0.093167,1.22242,0.485083,0.000292,1.80104
27,8.4e-05,0.105166,1.156,0.372834,0.000291,1.63437
28,0,0.090791,1.13971,0.37425,0.000166,1.60492
29,0,0.088291,1.16908,0.406041,0.000125,1.66354
30,0,0.089292,1.39183,0.4165,0.000167,1.89779
31,4.1e-05,0.099584,1.15813,0.375333,0.000208,1.63329
32,4.2e-05,0.087333,1.09838,0.47125,0.000167,1.65717
33,4.2e-05,0.0865,1.1245,0.367541,0.000167,1.57875
34,0,0.084958,1.23442,0.381791,0.00025,1.70142
35,0,0.090417,1.14267,0.39475,0.000167,1.628
36,4.2e-05,0.097833,1.25033,0.385333,0.000208,1.73375
37,8.3e-05,0.09225,1.12696,0.362334,0.000125,1.58175
38,0,0.088916,1.10346,0.457208,0.000125,1.64971
39,0,0.086875,1.16883,0.401375,0.000208,1.65729
40,4.2e-05,0.095333,1.14312,0.399875,0.000125,1.6385
41,0.000125,0.112375,1.18921,0.378709,0.000291,1.68071
42,8.3e-05,0.093583,1.11929,0.36675,8.3e-05,1.57979
43,0,0.084667,1.10071,0.357333,0.000334,1.54304
44,4.2e-05,0.081125,1.097,0.677458,0.000125,1.85575
45,0.000458,0.095917,1.15421,0.399209,0.000166,1.64996
46,4.1e-05,0.112084,1.164,0.381416,0.00025,1.65779
47,0.000125,0.094042,1.13275,0.365833,0.000125,1.59288
48,4.1e-05,0.086042,1.10213,0.358458,0.000167,1.54683
49,4.2e-05,0.082083,1.106,0.426208,0.000125,1.61446
50,8.3e-05,0.090833,1.45162,0.511959,0.00025,2.05475
51,0.000333,0.111583,1.18992,0.380958,0.000125,1.68292
52,0,0.092666,1.11192,0.377792,0.000166,1.58254
53,4.2e-05,0.088458,1.10471,0.364709,0.000166,1.55808
54,0,0.085292,1.13683,0.400292,0.000125,1.62254
55,0,0.089708,1.11958,0.380625,0.000167,1.59008
56,4.2e-05,0.089458,1.17267,0.4625,0.000167,1.72483
57,0,0.102125,1.13667,0.36825,0.000125,1.60717
58,0.000125,0.087542,1.11008,0.360959,0.000166,1.55888
59,4.2e-05,0.087917,1.101,0.396125,0.000416,1.5855
60,0,0.09425,1.13925,0.37125,0.000208,1.60496
61,0.000125,0.082666,1.22921,0.41475,0.000208,1.72696
62,0,0.096625,1.13146,0.467917,0,1.696
63,0,0.090209,1.11271,0.36825,0.000167,1.57133
64,0,0.09,1.14162,0.3795,0.000125,1.61125
