frame,input_simulation_ms,ui_ms,world_ms,screen_ms,display_ms,total_ms
0,0.289791,0.647792,1.66608,0.469,0.001042,3.07371
1,0.333,0.655667,1.47117,0.407292,0.001458,2.86858
2,0.291542,0.636,6.914,0.431541,0.001375,8.27446
3,0.396875,0.686583,1.53183,0.470209,0.001416,3.08692
4,0.801417,0.72425,1.54183,0.43025,0.00075,3.4985
5,0.372333,0.663417,1.418,0.3995,0.000667,2.85392
6,0.294833,0.647625,1.75438,0.448667,0.000333,3.14583
7,0.391,0.671291,1.46258,0.4195,0.000916,2.94529
8,0.323875,0.63425,3.62675,0.411208,0.000584,4.99667
9,0.357208,0.725709,1.33888,0.411208,0.001042,2.83404
10,0.299667,0.677791,1.8575,0.486334,0.0005,3.32179
11,0.303958,0.65675,1.41458,0.423291,0.000209,2.79879
12,0.388541,0.644292,1.3735,0.388167,0.000416,2.79492
13,0.275541,0.634334,1.3555,0.373,0.000375,2.63875
14,0.259792,0.643583,1.82254,0.435958,0.000334,3.16221
15,0.319708,0.661459,1.5815,0.425208,0.000542,2.98842
16,0.292958,0.650083,1.72479,0.410542,0.000708,3.07908
17,0.278666,0.648,1.52221,0.441125,0.000416,2.89042
18,0.354792,0.646875,1.445,0.382958,0.000583,2.83021
19,0.265375,0.626292,1.36154,0.383792,0.002042,2.63904
20,0.523458,0.632709,1.42321,0.393583,0.000459,2.97342
21,0.321416,0.640167,1.15696,0.380292,0.0005,2.49933
22,0.288042,0.630083,1.12996,0.387959,0.000458,2.4365
23,0.288208,0.720458,1.21463,0.446167,0.000208,2.66967
24,0.307959,0.641041,1.13646,0.369541,0.00075,2.45575
25,0.263667,0.628125,1.11675,0.358208,0.000292,2.36704
26,0.258291,0.663292,1.55537,0.447583,0.000542,2.92508
27,0.360041,0.674459,1.20887,0.382291,0.000375,2.62604
28,0.284458,0.63,1.12333,0.371792,0.000417,2.41
29,0.258166,0.638584,1.32662,0.394,0.000333,2.61771
30,0.3045,0.688459,1.42287,0.384083,0.000542,2.80046
31,0.27075,0.630709,1.15167,0.373084,0.000416,2.42663
32,0.260916,0.629542,1.38796,0.3995,0.000292,2.67821
33,0.309292,0.665375,1.29337,0.411542,0.000708,2.68029
34,0.299875,0.635792,1.13583,0.373,0.000167,2.44467
35,0.265875,0.636667,1.1265,0.374416,0.000334,2.40379
36,0.291375,0.674167,1.24192,0.417833,0.000292,2.62558
37,0.282875,0.6345,1.12437,0.382834,0.000291,2.42488
38,0.253459,0.648208,1.32904,0.399083,0.000583,2.63037
39,0.293,0.657167,1.14042,0.408,0.000541,2.49912
40,0.301,0.666916,1.14837,0.370375,0.000334,2.487
41,0.268042,0.637958,1.13533,0.361709,0.00025,2.40329
42,0.252625,0.62275,1.23467,0.371375,0.000208,2.48163
43,0.262791,0.653417,1.20317,0.370333,0.000292,2.49
44,0.2575,0.624791,1.21933,0.378791,0.000334,2.48075
45,0.266208,0.629625,1.28721,0.408541,0.000334,2.59192
46,0.261167,0.642333,1.18254,0.381333,0.000167,2.46754
47,0.270125,0.631084,1.10542,0.351334,0.000125,2.35808
48,0.245875,0.6195,1.09258,0.345083,0.00025,2.30329
49,0.239042,0.653,1.13654,0.352417,0.000333,2.38133
50,0.247833,0.657125,1.59421,0.374792,0.0005,2.87446
51,0.28,0.630709,1.11792,0.357584,0.000208,2.38642
52,0.248667,0.612333,1.15871,0.3665,8.4e-05,2.38629
53,0.262042,0.618875,1.22554,0.372709,8.3e-05,2.47925
54,0.273334,0.625333,1.12662,0.351083,0.000209,2.37658
55,0.238958,0.612375,1.11917,0.361958,0.000459,2.33292
56,0.319083,0.615875,1.22588,0.439125,0.000167,2.60012
57,0.282041,0.62575,1.18054,0.361125,0.000458,2.44992
58,0.248,0.612791,1.09625,0.349209,0.000125,2.30638
59,0.235708,0.610792,1.14771,0.355625,0.000125,2.34996
60,0.237666,0.643167,1.19379,0.367,0.000291,2.44192
61,0.256709,0.619208,1.09737,0.346042,0.00025,2.31958
62,0.246125,0.610792,1.23521,0.393167,0.000708,2.486
63,0.328833,0.622084,1.139,0.389166,0.00025,2.47933
64,0.263667,0.620333,1.10171,0.351834,0.000291,2.33783
65,0.235708,0.614583,1.09333,0.347958,0.000292,2.29188
66,0.235291,0.617792,1.14938,0.355833,0.000167,2.35846
67,0.240417,0.642416,1.21967,0.377583,0.000167,2.48025
68,0.271167,0.6215,1.19362,0.367917,0.00075,2.45496
69,0.263167,0.61775,1.11112,0.400958,0.000125,2.39312
70,0.247333,0.624167,1.47504,0.371167,0.000375,2.71808
71,0.265208,0.624625,1.10112,0.35575,0.00025,2.34696
72,0.23675,0.610542,1.09642,0.348041,0.000334,2.29208
73,0.242208,0.638125,1.14667,0.352708,0.000208,2.37992
74,0.255292,0.66575,1.22713,0.3735,0.000292,2.52196
75,0.264291,0.621959,1.09308,0.353125,0.000208,2.33267
76,0.249542,0.615291,1.16079,0.359,0.000208,2.38483
77,0.249541,0.618542,1.20733,0.369792,0.00025,2.44546
78,0.276,0.622625,1.11183,0.349,0.000208,2.35967
79,0.239708,0.613667,1.12175,0.359208,0.000125,2.33446
80,0.252333,0.637875,1.199,0.389125,0.0005,2.47883
81,0.291292,0.662208,1.13888,0.3625,0.000375,2.45525
82,0.262042,0.639,1.10817,0.34925,0.000416,2.35887
83,0.25225,0.613875,1.15562,0.390542,0.00025,2.41254
84,0.254166,0.619042,1.22783,0.414334,0.000291,2.51567
85,0.281125,0.625208,1.10646,0.353833,0.000125,2.36675
86,0.245417,0.613,1.16867,0.365459,0.000291,2.39283
87,0.287708,0.657167,1.12096,0.428334,0.00025,2.49442
88,0.295166,0.6365,1.11596,0.357541,0.00025,2.40542
89,0.249084,0.635958,1.10471,0.351334,0.000333,2.34142
90,0.242917,0.614458,1.39837,0.368833,0.000125,2.62471
91,0.25075,0.6595,1.16554,0.369333,0.000125,2.44525
92,0.252542,0.61725,1.26733,0.366542,0.000375,2.50404
93,0.25725,0.620084,1.11458,0.3785,0.000208,2.37062
94,0.276791,0.620667,1.14579,0.387708,0.000208,2.43117
95,0.2665,0.642542,1.11946,0.490125,0.000167,2.51879
96,0.252375,0.616,1.09892,0.356666,0.000209,2.32417
97,0.239333,0.640375,1.12958,0.352333,0.000167,2.36179
98,0.251125,0.667334,1.28971,0.374,4.2e-05,2.58221
99,0.273334,0.62325,1.15029,0.356,0.000292,2.40317
100,0.245458,0.611917,1.218,0.375167,0.000208,2.45075
101,0.250041,0.61925,1.24354,0.407458,0.00025,2.52054
102,0.307,0.625208,1.11462,0.36275,0.000167,2.40975
103,0.241083,0.617083,1.10867,0.385583,0.000917,2.35333
104,0.312333,0.627292,1.27467,0.411834,0.000166,2.62629
105,0.293917,0.643458,1.12675,0.35825,0.000334,2.42271
106,0.25025,0.628083,1.0925,0.354125,0.000208,2.32517
