frame,simulation_ms,ui_ms,render_ms,total_ms
0,12.5535,0.163916,2.89346,15.6109
1,13.8092,0.172833,2.16383,16.1458
2,11.7414,0.214958,2.45758,14.414
3,13.6802,0.208125,2.84967,16.738
4,12.2866,0.192083,2.94608,15.4247
5,13.3606,0.16875,2.1215,15.6509
6,12.1638,0.163916,2.14779,14.4755
7,13.6144,0.169792,2.56317,16.3474
8,12.273,0.171583,2.344,14.7886
9,13.5143,0.194875,2.29825,16.0074
10,11.8465,0.164958,2.52875,14.5402
11,13.3565,0.177667,2.12179,15.6559
12,11.9643,0.164584,2.14887,14.2777
13,13.3346,0.1665,2.09612,15.5973
14,12.1014,0.19825,3.40096,15.7006
15,13.3324,0.241208,2.28821,15.8618
16,11.8908,0.16375,2.15829,14.2129
17,13.2657,0.232541,2.07075,15.569
18,12.2903,0.162209,2.11433,14.5668
19,14.141,0.165791,2.11208,16.4188
20,11.7307,0.214666,2.48279,14.4282
21,13.1918,0.165375,2.36692,15.724
22,12.2461,0.17175,2.16162,14.5795
23,13.4067,0.165125,2.64896,16.2207
24,12.5415,0.163792,2.58554,15.2908
25,13.3552,0.160959,2.18388,15.7
26,12.2012,0.1645,2.11225,14.478
27,13.3875,0.190125,2.72992,16.3076
28,12.0497,0.216791,2.28883,14.5553
29,13.1475,0.166541,2.16654,15.4806
30,11.9292,0.163916,2.50537,14.5985
31,13.2622,0.161917,2.20846,15.6326
32,11.9782,0.197125,2.18487,14.3602
33,12.9781,0.159583,2.26017,15.3978
34,11.84,0.163291,2.20854,14.2118
35,14.2307,0.164417,2.64817,17.0433
36,12.4849,0.159417,2.57467,15.219
37,13.9773,0.172583,2.21233,16.3622
38,11.894,0.165208,2.11129,14.1705
39,12.9878,0.18925,2.40383,15.5809
40,11.7051,0.178209,2.31492,14.1982
41,13.1622,0.210834,2.316,15.689
42,12.137,0.184292,2.13262,14.4539
43,13.5682,0.173958,2.81783,16.56
44,11.8966,0.189416,2.41721,14.5032
45,12.8404,0.170084,2.26171,15.2722
46,11.9197,0.166208,2.79575,14.8817
47,13.1952,0.169583,2.24154,15.6064
48,12.192,0.167084,2.65554,15.0147
49,13.3014,0.174625,2.11325,15.5892
50,11.5288,0.167083,2.70375,14.3997
51,13.1419,0.16475,2.67692,15.9836
52,12.0651,0.162834,2.20642,14.4343
53,12.941,0.166334,2.12592,15.2332
54,11.7595,0.166375,2.26167,14.1876
55,13.2385,0.181333,2.51433,15.9342
56,13.2007,0.170083,2.44017,15.8109
57,12.9214,0.164125,2.15071,15.2363
58,11.659,0.165583,2.17471,13.9992
59,13.0825,0.166542,2.14087,15.39
60,11.6098,0.182875,2.65542,14.4481
61,12.9168,0.169834,2.26033,15.347
62,11.5362,0.164708,2.27225,13.9732
63,12.7948,0.179167,2.29517,15.2691
64,12.4679,0.16875,2.34033,14.977
65,13.8893,0.16675,2.73392,16.7899
66,12.334,0.174625,2.38504,14.8937
67,13.2639,0.1655,2.342,15.7714
68,12.0066,0.202916,2.13925,14.3488
69,12.9705,0.182916,2.15088,15.3043
70,11.7417,0.174625,2.53279,14.4491
71,13.0751,0.19625,2.90029,16.1717
72,12.3412,0.178709,2.16425,14.6842
73,13.0832,0.171083,2.60683,15.8612
74,12.1098,0.175958,2.71779,15.0035
75,13.3708,0.174417,2.56292,16.1082
76,11.8605,0.177458,2.11571,14.1537
77,12.6809,0.202417,2.32371,15.207
78,12.1043,0.169917,2.56688,14.8411
79,12.9381,0.17175,2.06992,15.1798
80,12.0702,0.162333,2.52646,14.759
81,13.0615,0.172792,2.08296,15.3173
82,11.5499,0.164541,2.24104,13.9555
83,12.898,0.163083,2.67133,15.7325
84,12.3896,0.17325,2.59,15.1528
85,13.5297,0.163667,2.65433,16.3477
