frame,input_simulation_ms,ui_ms,world_ms,screen_ms,display_ms,total_ms
0,0.017167,0.088625,1.36683,0.347042,0.0005,1.82017
1,0.01625,0.081458,1.25946,0.409166,0.000125,1.76646
2,0.022375,0.095709,1.2465,0.381,0.000208,1.74579
3,0.017667,0.091833,1.21063,0.406708,4.2e-05,1.72687
4,0.021792,0.102667,1.19296,0.50975,0.000167,1.82733
5,0.018208,0.098084,1.24838,0.414916,8.4e-05,1.77967
6,0.020625,0.100292,1.29771,0.382833,0.00025,1.80171
7,0.018375,0.098708,1.24988,0.373375,8.4e-05,1.74042
8,0.018917,0.094375,1.18083,0.361583,4.2e-05,1.65575
9,0.017042,0.08775,1.18458,0.366,0.000375,1.65575
10,0.018042,0.0885,1.25358,0.591834,0.00025,1.95221
11,0.021083,0.1085,1.25971,0.385959,4.1e-05,1.77529
12,0.019125,0.097084,1.22817,0.378459,0.000125,1.72296
13,0.017875,0.096166,1.27808,0.36975,0.000166,1.76204
14,0.018542,0.095,1.28,0.406041,0.00025,1.79983
15,0.019459,0.101041,1.24317,0.391083,4.2e-05,1.75479
16,0.020333,0.160167,1.25829,0.4795,0.000334,1.91863
17,0.020208,0.097917,1.23992,0.388417,0.00025,1.74671
18,0.018875,0.095042,1.23275,0.389541,0.00025,1.73646
19,0.018,0.094375,1.20683,0.3755,8.4e-05,1.69479
20,0.017292,0.094333,1.52963,0.396667,0.000208,2.03812
21,0.020875,0.1,1.23892,0.364458,0.00025,1.7245
22,0.016709,0.092,1.21242,0.463292,0.000125,1.78454
23,0.017792,0.098458,1.33317,0.397958,0.000208,1.84758
24,0.019083,0.095625,1.23804,0.398542,4.1e-05,1.75133
25,0.019875,0.104709,1.2505,0.380541,0.000459,1.75608
26,0.018959,0.097958,1.24817,0.375375,0.000166,1.74063
27,0.016959,0.091125,1.20517,0.36925,0.000375,1.68287
28,0.021792,0.103625,1.34867,0.471125,0.000167,1.94538
29,0.019084,0.102166,1.23842,0.3915,0.000125,1.75129
30,0.019666,0.096417,1.319,0.387958,0.000667,1.82371
31,0.022375,0.102666,1.21654,0.384542,0.00025,1.72637
32,0.021209,0.107833,1.26983,0.387375,0.000125,1.78638
33,0.016958,0.094334,1.21171,0.371083,0.00025,1.69433
34,0.018041,0.095042,1.31883,0.377125,0.000334,1.80937
35,0.018917,0.098,1.31008,0.371333,0.000584,1.79892
36,0.018,0.1,1.19342,0.36725,0.000458,1.67912
37,0.019417,0.09625,1.27746,0.369542,0.000167,1.76283
38,0.021833,0.110125,1.31004,0.408875,8.3e-05,1.85096
39,0.023291,0.129167,1.259,0.380458,4.2e-05,1.79196
40,0.016959,0.090333,1.41063,0.347167,0.000291,1.86538
41,0.015917,0.081458,1.212,0.365958,0.000417,1.67575
42,0.017375,0.098541,1.18996,0.358958,0.000333,1.66517
43,0.016167,0.083208,1.21829,0.384875,8.3e-05,1.70263
44,0.0175,0.092833,1.18708,0.34825,8.4e-05,1.64575
45,0.016667,0.087791,1.13821,0.346958,8.3e-05,1.58971
46,0.0165,0.08175,1.126,0.341542,0.000333,1.56612
47,0.0155,0.07925,1.38029,0.503666,0.000125,1.97883
48,0.017417,0.088167,1.20971,0.397375,0.00025,1.71292
49,0.01825,0.108166,1.23233,0.374875,4.1e-05,1.73367
50,0.017666,0.095584,1.14375,0.341958,0.000167,1.59912
51,0.016,0.08675,1.09879,0.371667,8.3e-05,1.57329
52,0.017334,0.100375,1.154,0.346916,0.000542,1.61917
53,0.015833,0.08175,1.16987,0.697792,0.000583,1.96583
54,0.0235,0.109833,1.24904,0.36525,0.000416,1.74804
55,0.017,0.093209,1.12479,0.352542,0.000167,1.58771
56,0.016584,0.083666,1.13254,0.358833,8.4e-05,1.59171
57,0.017,0.08525,1.21562,0.340667,0.000542,1.65908
58,0.016167,0.078791,1.20663,0.374167,0.003167,1.67892
59,0.018041,0.183959,1.1935,0.450166,4.2e-05,1.84571
60,0.01625,0.093583,1.36329,0.347833,8.4e-05,1.82104
61,0.016833,0.084083,1.15787,0.381417,8.3e-05,1.64029
62,0.016708,0.08275,1.16263,0.342417,0.003292,1.60779
63,0.017,0.086375,1.27508,0.372584,0.000125,1.75117
64,0.017708,0.104,1.24996,0.359792,0.00025,1.73171
65,0.016708,0.088709,1.14221,0.435042,4.1e-05,1.68271
66,0.016875,0.083417,1.12312,0.388041,0.000167,1.61163
67,0.01775,0.099666,1.32217,0.390708,0.000125,1.83042
68,0.02275,0.106667,1.1715,0.374583,0.00025,1.67575
69,0.017125,0.093416,1.25079,0.361958,0.000167,1.72346
70,0.017125,0.08225,1.1215,0.355375,0.000125,1.57638
71,0.019333,0.088917,1.23863,0.499291,0.00025,1.84642
72,0.018083,0.095375,1.19296,0.386291,0.000167,1.69287
73,0.017167,0.084458,1.26504,0.418458,0.000209,1.78533
74,0.018209,0.09775,1.25263,0.3505,0.000166,1.71925
75,0.016875,0.083667,1.15892,0.340125,0.000125,1.59971
76,0.01725,0.083333,1.14879,0.353666,0.000167,1.60321
77,0.016917,0.082541,1.15092,0.48425,0.000292,1.73492
78,0.019041,0.09325,1.20446,0.39,0.000166,1.70692
79,0.018,0.094667,1.15512,0.349208,0.000125,1.61712
80,0.016667,0.085583,1.37633,0.335625,0.000292,1.8145
81,0.016209,0.080916,1.18442,0.361875,0.003167,1.64658
82,0.016708,0.086125,1.24487,0.403958,0.000834,1.7525
83,0.019875,0.0915,1.16825,0.461208,0.000208,1.74104
84,0.017542,0.093958,1.16075,0.356042,0.000333,1.62862
85,0.015792,0.084041,1.1305,0.338959,4.1e-05,1.56933
86,0.016291,0.08125,1.14775,0.344417,0.00025,1.58996
87,0.016459,0.082208,1.125,0.394,8.3e-05,1.61775
88,0.020458,0.090875,1.22162,0.35675,4.2e-05,1.68975
89,0.016458,0.088792,1.11792,0.439708,0.000208,1.66308
90,0.017333,0.08325,1.13396,0.351584,0.000291,1.58642
91,0.016042,0.085333,1.15471,0.360459,0.000458,1.617
92,0.017333,0.086958,1.22104,0.391375,0.000583,1.71729
93,0.018,0.098292,1.20871,0.376584,0.000333,1.70192
94,0.0175,0.092625,1.18312,0.343959,0.000125,1.63733
95,0.015708,0.082417,1.14204,0.341375,8.3e-05,1.58163
96,0.016208,0.078875,1.22592,0.379166,4.2e-05,1.70021
97,0.016709,0.085875,1.17179,0.395917,0.000208,1.6705
98,0.019542,0.103625,1.20796,0.369,0.000375,1.7005
99,0.017541,0.094834,1.16583,0.347917,0.000125,1.62625
100,0.016834,0.084916,1.39229,0.343875,0.000125,1.83804
101,0.016416,0.081334,1.10371,0.367542,8.3e-05,1.56908
102,0.01675,0.083375,1.41254,0.4875,4.1e-05,2.00021
103,0.022125,0.112958,1.30421,0.37175,0.000334,1.81137
104,0.017583,0.100084,1.15196,0.342667,0.000541,1.61283
105,0.016708,0.08225,1.11938,0.335625,0.000167,1.55412
106,0.016792,0.095667,1.21196,0.369208,0.000209,1.69383
107,0.016584,0.080958,1.16375,0.394167,0.001208,1.65667
108,0.022833,0.087292,1.17771,0.437542,0.000166,1.72554
109,0.01675,0.092334,1.15117,0.35825,8.4e-05,1.61858
110,0.017292,0.085708,1.14383,0.346291,0.00025,1.59337
111,0.015958,0.082667,1.10779,0.358125,8.3e-05,1.56462
112,0.017792,0.08375,1.14621,0.393958,0.000209,1.64192
113,0.018458,0.092959,1.29192,0.369542,0,1.77287
114,0.017083,0.089459,1.13354,0.435625,4.2e-05,1.67575
115,0.016542,0.0825,1.14071,0.356958,8.4e-05,1.59679
116,0.016541,0.084667,1.18204,0.357083,0.000125,1.64046
117,0.016667,0.083333,1.15075,0.39625,0.001125,1.64813
118,0.020333,0.093792,1.12613,0.355,0.000167,1.59542
119,0.016542,0.084333,1.10517,0.340666,0.000292,1.547
