frame,simulation_ms,ui_ms,render_ms,total_ms
0,12.7647,0.174375,2.98738,15.9265
1,13.743,0.176292,2.16658,16.0858
2,11.865,0.167792,2.31421,14.347
3,13.4855,0.167041,2.51875,16.1713
4,12.0967,0.163541,2.87021,15.1304
5,13.0708,0.185958,2.22946,15.4862
6,11.6279,0.166542,2.26958,14.064
7,13.55,0.173833,2.67008,16.3939
8,12.0964,0.1635,2.34971,14.6096
9,13.3582,0.170583,2.13996,15.6688
10,11.6341,0.176333,2.70808,14.5185
11,13.1784,0.1735,2.24229,15.5942
12,12.0289,0.171875,2.15625,14.357
13,13.3026,0.167166,2.12371,15.5935
14,12.4537,0.163166,3.20717,15.824
15,13.6747,0.183458,2.26579,16.1239
16,11.9129,0.167084,2.39467,14.4746
17,13.6992,0.181042,2.46225,16.3425
18,12.7228,0.181542,2.5405,15.4449
19,14.7881,0.170709,2.33754,17.2964
20,11.7824,0.162208,2.50013,14.4448
21,13.2399,0.170833,2.1195,15.5303
22,12.0373,0.162083,2.10917,14.3085
23,13.5025,0.231625,2.81704,16.5511
24,12.0832,0.181625,3.00121,15.2661
25,13.0325,0.165709,2.34242,15.5406
26,12.1816,0.173584,2.19633,14.5515
27,13.5166,0.167333,2.61942,16.3034
28,12.3926,0.1645,2.11083,14.6679
29,13.402,0.186333,2.26404,15.8524
30,11.8824,0.194208,2.843,14.9196
31,13.0308,0.16125,2.414,15.606
32,11.7537,0.174,2.31937,14.2471
33,13.1636,0.168458,2.21075,15.5428
34,11.8351,0.162917,2.12517,14.1232
35,14.0318,0.20125,2.59392,16.827
36,11.8487,0.1675,2.75687,14.773
37,13.5965,0.17025,2.38171,16.1485
38,11.5914,0.1685,2.14842,13.9083
39,13.462,0.165458,2.1405,15.768
40,11.789,0.164375,2.18317,14.1366
41,12.969,0.165708,2.40554,15.5402
42,11.7125,0.175833,2.23717,14.1255
43,13.5388,0.170375,2.92529,16.6345
44,12.307,0.166083,2.27658,14.7497
45,13.421,0.175,2.13187,15.7279
46,11.8869,0.239916,2.74388,14.8707
47,13.0726,0.167709,2.45304,15.6933
48,11.822,0.170959,2.6755,14.6685
49,13.1832,0.181666,2.16471,15.5296
50,11.8419,0.163125,2.43463,14.4397
51,13.4268,0.1655,2.56025,16.1526
52,11.7814,0.204417,2.36983,14.3557
53,12.608,0.164834,2.18117,14.954
54,11.7748,0.189375,2.31338,14.2775
55,13.8223,0.169792,2.31342,16.3055
56,13.2018,0.163667,2.10604,15.4715
57,13.0615,0.162834,2.20967,15.434
58,11.4074,0.164917,2.3375,13.9098
59,12.8913,0.167167,2.08979,15.1483
60,11.9428,0.16225,2.15746,14.2625
61,13.1892,0.164041,2.07925,15.4325
62,11.711,0.162292,2.30075,14.1741
63,13.2609,0.213208,2.52496,15.999
64,12.1762,0.192375,2.471,14.8395
65,14.0262,0.179916,3.11008,17.3162
66,12.5766,0.175458,2.46542,15.2175
67,13.3868,0.176167,2.17633,15.7393
68,11.6858,0.169958,2.09754,13.9533
69,12.6465,0.169709,2.46246,15.2787
70,11.4465,0.165625,2.52292,14.135
71,13.3484,0.17125,2.83592,16.3555
72,12.4618,0.168042,2.13896,14.7688
73,13.2707,0.166459,2.547,15.9842
74,12.0605,0.250417,2.64017,14.9511
75,13.1368,0.171708,2.96992,16.2784
76,11.5925,0.178417,2.16833,13.9392
77,12.757,0.17125,2.32246,15.2507
78,12.1401,0.1675,2.69475,15.0024
79,13.1531,0.17175,2.15696,15.4818
80,11.728,0.164708,2.77471,14.6674
81,12.567,0.171625,2.24012,14.9787
82,11.5568,0.164125,2.19371,13.9146
83,12.9517,0.159791,2.61846,15.73
84,12.1655,0.19575,2.61775,14.979
85,12.9086,0.166042,2.66254,15.7372
86,11.6876,0.171917,2.71646,14.576
87,12.445,0.1745,2.33729,14.9568
88,11.573,0.166917,2.26842,14.0083
89,12.7987,0.217042,2.18075,15.1965
90,12.2324,0.166167,2.61146,15.01
91,13.8145,0.169125,2.74258,16.7262
92,11.5269,0.172125,2.26954,13.9685
93,13.0693,0.17175,2.18121,15.4223
94,11.8413,0.17525,2.27783,14.2943
95,12.4885,0.163459,2.32812,14.98
96,11.3903,0.163375,2.19746,13.7512
97,13.0712,0.234959,2.2505,15.5567
98,11.6065,0.166292,2.13987,13.9127
99,12.3554,0.173875,2.16529,14.6945
100,11.6262,0.161875,2.79167,14.5797
101,12.7239,0.167083,2.17321,15.0642
102,11.5615,0.160542,2.21821,13.9403
103,12.8119,0.164292,2.85717,15.8334
104,11.5277,0.161583,2.11458,13.8039
105,12.7643,0.165875,2.59579,15.5259
106,11.8249,0.162041,2.20079,14.1877
107,12.5682,0.216,2.432,15.2162
108,12.2701,0.166208,2.67808,15.1144
109,12.9515,0.171,2.58392,15.7065
110,11.776,0.164541,2.47583,14.4164
111,12.8783,0.171167,2.27558,15.325
112,11.7401,0.197792,2.32796,14.2658
113,12.9326,0.173834,2.75338,15.8598
114,11.5965,0.176916,2.11683,13.8902
115,13.115,0.169084,2.72283,16.0069
116,11.9195,0.165708,2.09696,14.1821
117,12.6819,0.245083,2.33996,15.2669
118,11.5806,0.171084,2.18262,13.9343
119,12.4882,0.1705,2.29625,14.9549
120,11.6891,0.15925,2.12162,13.97
121,12.3826,0.162958,2.36683,14.9124
122,11.2196,0.188334,2.12883,13.5367
123,13.6104,0.161875,2.87829,16.6506
124,12.1085,0.160875,2.59229,14.8616
125,12.6676,0.164792,2.12783,14.9602
126,11.3356,0.161084,2.21879,13.7155
127,12.2467,0.160958,2.20529,14.6129
