frame,simulation_ms,ui_ms,render_ms,total_ms
0,7.31671,0.145167,2.38067,9.84254
1,9.08225,0.144875,4.88867,14.1158
2,7.60008,0.147625,2.31133,10.059
3,8.97479,0.155833,2.19896,11.3296
4,7.45267,0.159375,2.18354,9.79558
5,8.61733,0.147667,2.51183,11.2768
6,7.5625,0.147542,2.42246,10.1325
7,8.76613,0.141209,2.33904,11.2464
8,7.36354,0.150209,1.90796,9.42171
9,8.50638,0.145667,2.16767,10.8197
10,7.66512,0.146291,2.44358,10.255
11,8.66313,0.154125,2.05671,10.874
12,7.27808,0.142541,2.20758,9.62821
13,8.49612,0.143667,2.27758,10.9174
14,7.48504,0.142375,2.03921,9.66662
15,8.76725,0.1485,1.94204,10.8578
16,7.36212,0.138542,1.91621,9.41687
17,8.42258,0.13975,1.95629,10.5186
18,7.39242,0.146708,1.97321,9.51233
19,8.67592,0.141125,2.52554,11.3426
20,7.44712,0.146458,1.89754,9.49113
21,8.65113,0.144666,2.17979,10.9756
22,7.411,0.147583,1.96271,9.52129
23,8.58621,0.1415,2.14496,10.8727
24,7.21821,0.202541,2.08871,9.50946
25,8.72171,0.166917,1.98033,10.869
26,7.30442,0.1405,1.94446,9.38937
27,8.62775,0.14275,2.09908,10.8696
28,7.17762,0.138209,2.12513,9.44096
29,8.49029,0.148125,1.88204,10.5205
30,7.43446,0.14375,2.31475,9.89296
31,8.60254,0.157708,1.92958,10.6898
32,7.69425,0.158333,2.14637,9.99896
33,8.67046,0.148459,2.00133,10.8202
34,7.605,0.151791,1.97125,9.72804
35,8.72596,0.148083,2.12942,11.0035
36,7.63663,0.1825,2.28004,10.0992
37,9.32479,0.172416,2.4415,11.9387
38,7.37871,0.139166,1.90596,9.42383
39,8.66471,0.150208,1.98229,10.7972
40,7.31558,0.151541,2.09433,9.56146
41,8.44471,0.145167,1.89037,10.4802
42,7.30063,0.141333,1.99796,9.43992
43,8.57067,0.138375,1.95783,10.6669
44,7.27592,0.14075,1.887,9.30367
45,8.50075,0.14175,2.50483,11.1473
46,7.52979,0.15025,1.98121,9.66125
47,8.41875,0.13825,1.86317,10.4202
48,7.24263,0.151209,2.01408,9.40792
49,8.33796,0.142042,1.96883,10.4488
50,7.37488,0.146916,2.52438,10.0462
51,8.89404,0.142875,1.87817,10.9151
52,7.40104,0.146167,2.18592,9.73312
53,8.45192,0.151791,2.02413,10.6278
54,7.34971,0.157625,2.0915,9.59883
55,8.67121,0.157167,1.90196,10.7303
56,7.24988,0.138291,1.87029,9.25846
57,8.21967,0.148875,1.92362,10.2922
58,7.21142,0.152125,1.90533,9.26887
59,8.44092,0.211291,2.26987,10.9221
60,7.29467,0.143459,1.95317,9.39129
61,8.30229,0.150209,1.86954,10.322
62,7.19183,0.145083,1.88688,9.22379
63,8.41058,0.145375,1.899,10.455
64,7.43133,0.140375,2.04192,9.61363
65,8.35538,0.149916,2.14408,10.6494
66,7.61658,0.142417,1.89,9.649
67,8.34783,0.139417,1.93287,10.4201
68,7.39683,0.17475,2.27125,9.84283
69,8.38175,0.158125,2.22921,10.7691
70,7.20167,0.153833,2.21471,9.57021
71,8.36946,0.141584,2.02654,10.5376
72,7.46254,0.151084,1.96825,9.58188
73,8.20146,0.144125,2.00762,10.3532
74,7.37988,0.142375,2.15867,9.68092
75,8.34346,0.158167,1.88625,10.3879
76,7.28463,0.144875,1.88671,9.31621
77,8.18313,0.14625,2.19992,10.5293
78,7.37804,0.139041,1.89004,9.40713
79,8.33512,0.170667,2.20063,10.7064
80,7.36646,0.141166,1.872,9.37963
81,8.24692,0.137792,1.85217,10.2369
82,7.32371,0.148333,2.01162,9.48367
83,8.32354,0.154,1.95108,10.4286
84,7.27917,0.158667,2.17558,9.61342
85,8.346,0.143459,1.89142,10.3809
86,7.62875,0.146292,1.85079,9.62583
87,8.26887,0.144792,2.18438,10.598
88,7.75771,0.149083,2.141,10.0478
89,9.11558,0.14775,1.97383,11.2372
90,7.64567,0.145125,2.24587,10.0367
91,8.30971,0.136708,2.17663,10.623
92,7.42329,0.148167,1.95471,9.52617
93,8.2855,0.182,2.14779,10.6153
94,7.18171,0.14125,2.03092,9.35388
95,8.43838,0.151542,2.15217,10.7421
96,7.19675,0.147666,1.94708,9.2915
97,8.3155,0.195792,2.06387,10.5752
98,7.03075,0.138,2.109,9.27775
99,8.40863,0.145167,1.88304,10.4368
100,7.28646,0.141375,2.01817,9.446
101,8.72492,0.175417,2.22158,11.1219
102,7.55213,0.146792,2.22679,9.92571
103,8.57975,0.154292,2.01592,10.75
104,7.55146,0.154084,2.08471,9.79025
105,8.50871,0.157959,2.09579,10.7625
106,7.68933,0.14675,2.33471,10.1708
107,8.39575,0.141334,2.01412,10.5512
108,7.25696,0.138542,1.91246,9.30796
109,8.50904,0.141625,2.00237,10.653
110,7.13417,0.136209,2.25675,9.52712
111,8.15704,0.152333,2.08812,10.3975
112,7.11267,0.170084,2.12754,9.41029
113,8.20171,0.150625,1.90033,10.2527
114,7.13025,0.140292,1.88462,9.15517
115,8.10017,0.153041,1.943,10.1962
116,7.16971,0.174834,1.92588,9.27042
117,8.69238,0.169709,2.19708,11.0592
118,7.19917,0.147292,1.93983,9.28629
119,8.06054,0.148875,1.87437,10.0838
120,7.21871,0.14375,1.95517,9.31762
121,8.28271,0.147125,1.89421,10.324
122,7.54342,0.14375,2.31875,10.0059
123,8.16508,0.14775,2.02992,10.3428
124,7.36263,0.149541,1.87208,9.38425
125,8.496,0.143708,1.9425,10.5822
126,7.38033,0.15525,1.90046,9.43604
127,8.24342,0.142291,2.06712,10.4528
128,7.20583,0.165,1.9265,9.29733
129,8.05479,0.136625,1.97542,10.1668
130,7.13971,0.14375,2.28892,9.57237
131,8.24062,0.13925,1.94842,10.3283
132,7.22042,0.1445,1.94571,9.31062
133,7.937,0.159416,2.08121,10.1776
134,7.12292,0.148209,1.87121,9.14233
135,8.30896,0.140459,2.29325,10.7427
136,7.32033,0.138708,1.95225,9.41129
137,8.03471,0.1515,1.93846,10.1247
138,7.21842,0.141041,2.02496,9.38442
139,8.13858,0.152166,1.90108,10.1918
140,7.56108,0.1435,2.02104,9.72563
141,8.04,0.148167,1.97713,10.1653
142,7.27254,0.14575,1.93758,9.35587
143,8.26996,0.157375,2.02104,10.4484
144,7.09004,0.137958,2.23471,9.46271
145,8.12383,0.151625,1.852,10.1275
146,7.239,0.157084,1.97487,9.37096
147,8.06221,0.137083,1.94142,10.1407
148,7.19583,0.140458,2.03171,9.368
149,8.08154,0.158875,1.96008,10.2005
150,6.93771,0.147458,2.41571,9.50088
151,8.221,0.138542,2.1625,10.522
152,7.12858,0.137334,2.07075,9.33667
153,8.09337,0.145,2.01138,10.2498
154,7.32396,0.137458,2.22558,9.687
155,8.17987,0.195167,2.13583,10.5109
156,7.24675,0.138708,1.90237,9.28783
157,7.96296,0.143083,1.94525,10.0513
158,7.02821,0.132416,2.04642,9.20704
159,8.13017,0.147083,1.94904,10.2263
160,7.21521,0.140625,1.99429,9.35013
161,8.02979,0.154709,1.92183,10.1063
162,7.04263,0.13825,1.85267,9.03354
163,7.99087,0.137542,1.85775,9.98617
164,7.69221,0.142875,2.00879,9.84388
165,8.00475,0.1405,1.88283,10.0281
166,7.29138,0.141292,2.03087,9.46354
167,8.13367,0.16925,1.96342,10.2663
168,7.10183,0.142,1.95629,9.20012
169,8.00596,0.136833,1.96246,10.1052
170,7.13537,0.137708,2.36196,9.63504
171,7.99679,0.142917,1.93829,10.078
172,7.09696,0.162959,2.10533,9.36525
173,7.98708,0.145,1.88121,10.0133
174,7.15683,0.146875,1.88654,9.19025
175,8.212,0.135125,2.0225,10.3696
176,7.26638,0.158667,2.10821,9.53325
177,7.97854,0.141208,1.97833,10.0981
178,7.088,0.141417,2.07992,9.30933
179,8.13725,0.137667,2.13008,10.405
